phase,dataset,horizon,outer_fold,scheme,role,group_id,n,origin_min,origin_max,target_min,target_max,membership_sha256
after,pleia,3,1,chronological,inner_select,nan,7429,2021-06-11 18:30:00,2021-08-02 08:30:00,2021-06-11 19:00:00,2021-08-02 09:00:00,1afe1caf989bab6e6babba855d6903ad55b26ae1708cb4b91966dbaf8e93a513
after,pleia,3,1,chronological,refit_train,nan,22285,2021-01-07 23:40:00,2021-06-11 17:40:00,2021-01-08 00:10:00,2021-06-11 18:10:00,506ee7127ead38d9e0d410ac2ff259564bd15f3fa197a144b6fedfec7f73bfa1
after,pleia,3,1,chronological,refit_calibration,nan,7429,2021-06-11 18:30:00,2021-08-02 08:30:00,2021-06-11 19:00:00,2021-08-02 09:00:00,1afe1caf989bab6e6babba855d6903ad55b26ae1708cb4b91966dbaf8e93a513
after,pleia,3,1,chronological,outer_test,nan,9907,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:40:00,2021-10-10 04:40:00,c5da2785e6c23a1036254aba633cd42130cf6b895b6cf8a36e621a2696ddb52b
after,pleia,3,2,chronological,inner_train,nan,9901,2021-01-07 23:40:00,2021-03-17 17:40:00,2021-01-08 00:10:00,2021-03-17 18:10:00,0efdb4c0c98d76c3d85311d2342ea5b51feeb3cd64db1248be720be18479b3c6
after,pleia,3,2,chronological,inner_calib,nan,4951,2021-03-17 18:20:00,2021-04-21 03:20:00,2021-03-17 18:50:00,2021-04-21 03:50:00,70091cd0dcb8b72b49653e84fbe35f808073c8323765d187eb7796fec86550a7
after,pleia,3,2,chronological,inner_select,nan,4952,2021-04-21 04:10:00,2021-05-25 13:20:00,2021-04-21 04:40:00,2021-05-25 13:50:00,7fa06de8c38dda4d17b6b0cf6e9ef56c1df4e74c93e4a91c0e4cc3ac109ef25d
after,pleia,3,2,chronological,refit_train,nan,14855,2021-01-07 23:40:00,2021-04-21 03:20:00,2021-01-08 00:10:00,2021-04-21 03:50:00,227c29f26e08b12144a3144f7b4e485ceef61eeffddfb8383055cdb14249180b
after,pleia,3,2,chronological,refit_calibration,nan,4952,2021-04-21 04:10:00,2021-05-25 13:20:00,2021-04-21 04:40:00,2021-05-25 13:50:00,7fa06de8c38dda4d17b6b0cf6e9ef56c1df4e74c93e4a91c0e4cc3ac109ef25d
after,pleia,3,2,chronological,outer_test,nan,9907,2021-05-25 14:00:00,2021-08-02 09:00:00,2021-05-25 14:30:00,2021-08-02 09:30:00,bac99d6be4cb79fe22304f53e75236e112bbd0869eb6fec15e881e232b076cc3
after,pleia,6,0,chronological,inner_train,nan,19802,2021-01-07 23:10:00,2021-05-25 11:20:00,2021-01-08 00:10:00,2021-05-25 12:20:00,bdb3543a2417795483a8d3c21d60c7e798bdd794820e0286658e48bd75787aa0
after,pleia,6,0,chronological,inner_calib,nan,9902,2021-05-25 12:30:00,2021-08-02 06:40:00,2021-05-25 13:30:00,2021-08-02 07:40:00,344f9c0c1a57dfe6ebea6d73ed9de38252166ea6e457eb7d3b5eccac820af5ac
after,pleia,6,0,chronological,inner_select,nan,9904,2021-08-02 08:10:00,2021-10-10 02:40:00,2021-08-02 09:10:00,2021-10-10 03:40:00,95f6a9fd9b4c2fa94db7feb83a63fad2a71fd57999295f2197de2469d546764e
after,pleia,6,0,chronological,refit_train,nan,29710,2021-01-07 23:10:00,2021-08-02 06:40:00,2021-01-08 00:10:00,2021-08-02 07:40:00,9bfb1bb756f6482d05f8b29f4641dbd1f296028fc350a4a553d24a36d22e27e9
after,pleia,6,0,chronological,refit_calibration,nan,9904,2021-08-02 08:10:00,2021-10-10 02:40:00,2021-08-02 09:10:00,2021-10-10 03:40:00,95f6a9fd9b4c2fa94db7feb83a63fad2a71fd57999295f2197de2469d546764e
after,pleia,6,0,chronological,outer_test,nan,9907,2021-10-10 03:50:00,2021-12-17 22:50:00,2021-10-10 04:50:00,2021-12-17 23:50:00,d49d239e790e4d4ac222855ae25cdaac52374834298fd0a50aea54a1301ed1ee
after,pleia,6,1,chronological,inner_train,nan,14848,2021-01-07 23:10:00,2021-04-21 01:40:00,2021-01-08 00:10:00,2021-04-21 02:40:00,e5a4c232cc1d13cc9d5203af23da48e28adca899c775ee359a1a41c6d846345c
after,pleia,6,1,chronological,inner_calib,nan,7426,2021-04-21 02:50:00,2021-06-11 16:20:00,2021-04-21 03:50:00,2021-06-11 17:20:00,b3300efe17553d70092bcd780a214f82794871484069f361c7a93cb4735ec523
after,pleia,6,1,chronological,inner_select,nan,7428,2021-06-11 17:40:00,2021-08-02 07:30:00,2021-06-11 18:40:00,2021-08-02 08:30:00,acb2da6e59f080e25fa1a9bcd7498a2da1bb173332cfe49ce08199c6ef5dc18c
after,pleia,6,1,chronological,refit_train,nan,22280,2021-01-07 23:10:00,2021-06-11 16:20:00,2021-01-08 00:10:00,2021-06-11 17:20:00,24f1612079bd1cb0002f3d68e2063c78ac6c036e8372f0e93ec8183a74ff392f
after,pleia,6,1,chronological,refit_calibration,nan,7428,2021-06-11 17:40:00,2021-08-02 07:30:00,2021-06-11 18:40:00,2021-08-02 08:30:00,acb2da6e59f080e25fa1a9bcd7498a2da1bb173332cfe49ce08199c6ef5dc18c
after,pleia,6,1,chronological,outer_test,nan,9907,2021-08-02 08:40:00,2021-10-10 03:40:00,2021-08-02 09:40:00,2021-10-10 04:40:00,fa45890988d25946876a84abd68f3543a379c544700b897ef1b1b0aedab6c64d
after,pleia,6,2,chronological,inner_train,nan,9895,2021-01-07 23:10:00,2021-03-17 16:10:00,2021-01-08 00:10:00,2021-03-17 17:10:00,58ca8b539f5909f1f344cb39c70775164f162fd2f6c574805aafb4f92fdabd4d
after,pleia,6,2,chronological,inner_calib,nan,4949,2021-03-17 17:20:00,2021-04-21 02:00:00,2021-03-17 18:20:00,2021-04-21 03:00:00,60b6b48f2ae1b2a8fb44813ea9cc6c951b2b8f3d3d908f0dfed8a24787ac75d8
after,pleia,6,2,chronological,inner_select,nan,4951,2021-04-21 03:20:00,2021-05-25 12:20:00,2021-04-21 04:20:00,2021-05-25 13:20:00,9247b241a0fa2d22e3929a301f0ff3511dbadd5e2e8ec374799c5c7abceab76d
after,pleia,6,2,chronological,refit_train,nan,14850,2021-01-07 23:10:00,2021-04-21 02:00:00,2021-01-08 00:10:00,2021-04-21 03:00:00,ef9d6a6abac88bf6870ca419233277f25ca38ffcec8d2e50ef36e5a7ae619400
after,pleia,6,2,chronological,refit_calibration,nan,4951,2021-04-21 03:20:00,2021-05-25 12:20:00,2021-04-21 04:20:00,2021-05-25 13:20:00,9247b241a0fa2d22e3929a301f0ff3511dbadd5e2e8ec374799c5c7abceab76d
after,pleia,6,2,chronological,outer_test,nan,9907,2021-05-25 13:30:00,2021-08-02 08:30:00,2021-05-25 14:30:00,2021-08-02 09:30:00,c6974f8d3bde0930d9d56239e658a56ee8f6554aea2606844b45a070315571f1
after,pleia_energy,1,0,chronological,inner_train,nan,19812,2021-01-07 23:50:00,2021-05-25 13:40:00,2021-01-08 00:00:00,2021-05-25 13:50:00,05bf066261685ba456d0bb9458848d8e72e49bad957abb773837ea7e66cfb993
after,pleia_energy,1,0,chronological,inner_calib,nan,9906,2021-05-25 14:00:00,2021-08-02 08:50:00,2021-05-25 14:10:00,2021-08-02 09:00:00,536213e1a316beced240b0aea49d7bc3226e0d27c92c44f4cb51f5a93c8f1760
after,pleia_energy,1,0,chronological,inner_select,nan,9907,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,f0f8b451dfb574d144f74d9b8f12760a1e9f5f23be72da1c5af27a0ab50e441e
after,pleia_energy,1,0,chronological,refit_train,nan,29719,2021-01-07 23:50:00,2021-08-02 08:50:00,2021-01-08 00:00:00,2021-08-02 09:00:00,31e1d93f3da94cb1b75691d4904ef23bd7e238661366d8119e4c0bb2c28f44ec
after,pleia_energy,1,0,chronological,refit_calibration,nan,9907,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,f0f8b451dfb574d144f74d9b8f12760a1e9f5f23be72da1c5af27a0ab50e441e
after,pleia_energy,1,0,chronological,outer_test,nan,9909,2021-10-10 04:30:00,2021-12-17 23:50:00,2021-10-10 04:40:00,2021-12-18 00:00:00,476e7318dbf374e67575f39312f24c0e0b1fa6742e837eb8e7680478b99ee1bc
after,pleia_energy,1,1,chronological,inner_train,nan,14858,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,44caea14eb9235d38ecc221b7d59fdc2f8f54bff0f52fbbd9e0bb1b805ca2387
after,pleia_energy,1,1,chronological,inner_calib,nan,7430,2021-04-21 04:20:00,2021-06-11 18:30:00,2021-04-21 04:30:00,2021-06-11 18:40:00,d358e2c75989f542a561267493ebd2ba87d7f0b3632200291345cd95802720b4
after,pleia_energy,1,1,chronological,inner_select,nan,7430,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,9c360aca5b71da423ffaf9138f7f64d749447e9d8487e7c6abee5f77833d1e98
after,pleia_energy,1,1,chronological,refit_train,nan,22289,2021-01-07 23:50:00,2021-06-11 18:30:00,2021-01-08 00:00:00,2021-06-11 18:40:00,f1d706efa5c2655d6ef348d25bc102c124583aaffe33d5a6b50fc2b67ff872f2
after,pleia_energy,1,1,chronological,refit_calibration,nan,7430,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,9c360aca5b71da423ffaf9138f7f64d749447e9d8487e7c6abee5f77833d1e98
after,pleia_energy,1,1,chronological,outer_test,nan,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
after,pleia_energy,1,2,chronological,inner_train,nan,9905,2021-01-07 23:50:00,2021-03-17 18:30:00,2021-01-08 00:00:00,2021-03-17 18:40:00,ff5a24fc296198bacaed612579aee609eb3332a932e4804c4d250626cb5df73d
after,pleia_energy,1,2,chronological,inner_calib,nan,4952,2021-03-17 18:50:00,2021-04-21 04:00:00,2021-03-17 19:00:00,2021-04-21 04:10:00,321858418ae20f452aea49aa1f8d8ac6dc0aba8a6bbfead8d6536a59d5f5ac73
after,pleia_energy,1,2,chronological,inner_select,nan,4953,2021-04-21 04:30:00,2021-05-25 13:50:00,2021-04-21 04:40:00,2021-05-25 14:00:00,05d6c30f8c3813efdcab97c9bdab0eee81ce669af9af5b8b70b88518c07f2ca8
after,pleia_energy,1,2,chronological,refit_train,nan,14858,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,44caea14eb9235d38ecc221b7d59fdc2f8f54bff0f52fbbd9e0bb1b805ca2387
after,pleia_energy,1,2,chronological,refit_calibration,nan,4953,2021-04-21 04:30:00,2021-05-25 13:50:00,2021-04-21 04:40:00,2021-05-25 14:00:00,05d6c30f8c3813efdcab97c9bdab0eee81ce669af9af5b8b70b88518c07f2ca8
after,pleia_energy,1,2,chronological,outer_test,nan,9907,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00,b6bdcea0efeca5c07185bc1f75980e8a2570387a5c08e31f9cd301cf38cb60bd
after,pleia_energy,3,0,chronological,inner_train,nan,19808,2021-01-07 23:30:00,2021-05-25 12:40:00,2021-01-08 00:00:00,2021-05-25 13:10:00,fbfa29230f75b52022556d1818c8374cc973e8a106f798cc6f9a6443fe92699a
after,pleia_energy,3,0,chronological,inner_calib,nan,9904,2021-05-25 13:20:00,2021-08-02 07:50:00,2021-05-25 13:50:00,2021-08-02 08:20:00,f88de3ab131d0ecca49dde5ec3e11130fb9aec04cf4f5cb627bb98b1f0f67e5f
after,pleia_energy,3,0,chronological,inner_select,nan,9906,2021-08-02 08:40:00,2021-10-10 03:30:00,2021-08-02 09:10:00,2021-10-10 04:00:00,c63b5f51a36f297c5d6574bffa55167d7725cbb35f8d735f8451a5f8ed9fc672
after,pleia_energy,3,0,chronological,refit_train,nan,29715,2021-01-07 23:30:00,2021-08-02 07:50:00,2021-01-08 00:00:00,2021-08-02 08:20:00,15ffb953aff9e91e8a00af7478b500c69c35709363a2965be60fccf96bf297f6
after,pleia_energy,3,0,chronological,refit_calibration,nan,9906,2021-08-02 08:40:00,2021-10-10 03:30:00,2021-08-02 09:10:00,2021-10-10 04:00:00,c63b5f51a36f297c5d6574bffa55167d7725cbb35f8d735f8451a5f8ed9fc672
after,pleia_energy,3,0,chronological,outer_test,nan,9909,2021-10-10 04:10:00,2021-12-17 23:30:00,2021-10-10 04:40:00,2021-12-18 00:00:00,ae5506e6b646c1fa25ed2290b0ef64c2f71b595bb6b134f88e76887f8fbc41af
after,pleia_energy,3,1,chronological,inner_train,nan,14854,2021-01-07 23:30:00,2021-04-21 03:00:00,2021-01-08 00:00:00,2021-04-21 03:30:00,2f73fe830ec785d33477a241049962f7b05d60e98c85e3cb79dc9e403a9b0875
after,pleia_energy,3,1,chronological,inner_calib,nan,7428,2021-04-21 03:40:00,2021-06-11 17:30:00,2021-04-21 04:10:00,2021-06-11 18:00:00,5ff5cfc2f5ce8c43a073c0be19a4e8095bd33ac32fe80859dc709c0e23a52f4a
after,pleia_energy,3,1,chronological,inner_select,nan,7429,2021-06-11 18:20:00,2021-08-02 08:20:00,2021-06-11 18:50:00,2021-08-02 08:50:00,c54f8c56e40f1e77da3bfb234479e93f76be8e566c418b43330f299324becf45
after,pleia_energy,3,1,chronological,refit_train,nan,22285,2021-01-07 23:30:00,2021-06-11 17:30:00,2021-01-08 00:00:00,2021-06-11 18:00:00,c6214572228b7105c7dea4e41d566dd1cf09604b8891b6ebc67d7e8524ca4ec9
after,pleia_energy,3,1,chronological,refit_calibration,nan,7429,2021-06-11 18:20:00,2021-08-02 08:20:00,2021-06-11 18:50:00,2021-08-02 08:50:00,c54f8c56e40f1e77da3bfb234479e93f76be8e566c418b43330f299324becf45
after,pleia_energy,3,1,chronological,outer_test,nan,9907,2021-08-02 09:00:00,2021-10-10 04:00:00,2021-08-02 09:30:00,2021-10-10 04:30:00,ad2c4dfa64198051d63e0f75a601b763d439e079723619c241b5da7304685a8b
after,pleia_energy,3,2,chronological,inner_train,nan,9901,2021-01-07 23:30:00,2021-03-17 17:30:00,2021-01-08 00:00:00,2021-03-17 18:00:00,1e61a5a62ea1351b69fe7f719f3a5fca6dc174ea9c48daf8301f48e081dee279
after,pleia_energy,3,2,chronological,inner_calib,nan,4951,2021-03-17 18:10:00,2021-04-21 03:10:00,2021-03-17 18:40:00,2021-04-21 03:40:00,517d79c4283bdc3396862903067dedc7aa422abb5373b81277efc40ee9732f0a
after,pleia_energy,3,2,chronological,inner_select,nan,4952,2021-04-21 04:00:00,2021-05-25 13:10:00,2021-04-21 04:30:00,2021-05-25 13:40:00,314903ce4f8c8409c5417c2d6b829e4549971bebc3d6a0dc881d54aa3c565364
after,pleia_energy,3,2,chronological,refit_train,nan,14855,2021-01-07 23:30:00,2021-04-21 03:10:00,2021-01-08 00:00:00,2021-04-21 03:40:00,9fc9e18746429e574996b5d318c420366de84a249898bc72faa113826ebf5288
after,pleia_energy,3,2,chronological,refit_calibration,nan,4952,2021-04-21 04:00:00,2021-05-25 13:10:00,2021-04-21 04:30:00,2021-05-25 13:40:00,314903ce4f8c8409c5417c2d6b829e4549971bebc3d6a0dc881d54aa3c565364
after,pleia_energy,3,2,chronological,outer_test,nan,9907,2021-05-25 13:50:00,2021-08-02 08:50:00,2021-05-25 14:20:00,2021-08-02 09:20:00,f7a8b2ab436b98d9e3c4127b8c0c687d2944e7cc7512d2ddf6c76666e097c7ea
after,pleia_energy,6,0,chronological,inner_train,nan,19802,2021-01-07 23:00:00,2021-05-25 11:10:00,2021-01-08 00:00:00,2021-05-25 12:10:00,d3bc54a1667de7296e81808c890885f3a802caba2dd29f1fb7b0931bcec0af23
after,pleia_energy,6,0,chronological,inner_calib,nan,9902,2021-05-25 12:20:00,2021-08-02 06:30:00,2021-05-25 13:20:00,2021-08-02 07:30:00,ac7a2009cb7849554aa756c6a5b93d5a284ff5b316262430de21b00f2eafe631
after,pleia_energy,6,0,chronological,inner_select,nan,9904,2021-08-02 08:00:00,2021-10-10 02:30:00,2021-08-02 09:00:00,2021-10-10 03:30:00,e59aee5a534e0d47f0f53b1aed75722dd115abec11bda911cecfb53491461905
after,pleia_energy,6,0,chronological,refit_train,nan,29710,2021-01-07 23:00:00,2021-08-02 06:30:00,2021-01-08 00:00:00,2021-08-02 07:30:00,37f214f5db11e13be7f13341da31d667571af3649262d1ae48885f7a7eba5a1b
after,pleia_energy,6,0,chronological,refit_calibration,nan,9904,2021-08-02 08:00:00,2021-10-10 02:30:00,2021-08-02 09:00:00,2021-10-10 03:30:00,e59aee5a534e0d47f0f53b1aed75722dd115abec11bda911cecfb53491461905
after,pleia_energy,6,0,chronological,outer_test,nan,9909,2021-10-10 03:40:00,2021-12-17 23:00:00,2021-10-10 04:40:00,2021-12-18 00:00:00,acee79d85b01535344cec08f6124b73cdb75dee57439b08142cb6522588a6d08
after,pleia_energy,6,1,chronological,inner_train,nan,14848,2021-01-07 23:00:00,2021-04-21 01:30:00,2021-01-08 00:00:00,2021-04-21 02:30:00,9f2d03d1090851cd30a75b61ec0e900f02d360a637466ef3aa4e77877666c919
after,pleia_energy,6,1,chronological,inner_calib,nan,7426,2021-04-21 02:40:00,2021-06-11 16:10:00,2021-04-21 03:40:00,2021-06-11 17:10:00,ad1761dbd8fc4f01833e196e69bc4ea30227578cbc10f149853c6eab5185e0b7
after,pleia_energy,6,1,chronological,inner_select,nan,7428,2021-06-11 17:30:00,2021-08-02 07:20:00,2021-06-11 18:30:00,2021-08-02 08:20:00,73730b55480f5c025643f7c35f3619e0c32e5ae13866a8a682cd5f275ef55769
after,pleia_energy,6,1,chronological,refit_train,nan,22280,2021-01-07 23:00:00,2021-06-11 16:10:00,2021-01-08 00:00:00,2021-06-11 17:10:00,b212c8c561ac5bd2d37ff7d8160d061d0a9fca4d0141ab909973c2e767dbbf93
after,pleia_energy,6,1,chronological,refit_calibration,nan,7428,2021-06-11 17:30:00,2021-08-02 07:20:00,2021-06-11 18:30:00,2021-08-02 08:20:00,73730b55480f5c025643f7c35f3619e0c32e5ae13866a8a682cd5f275ef55769
after,pleia_energy,6,1,chronological,outer_test,nan,9907,2021-08-02 08:30:00,2021-10-10 03:30:00,2021-08-02 09:30:00,2021-10-10 04:30:00,0206cf47128d6e35469fb115f5a271195742ccc0a53ccfc1ef96813755647fe6
after,pleia_energy,6,2,chronological,inner_train,nan,9895,2021-01-07 23:00:00,2021-03-17 16:00:00,2021-01-08 00:00:00,2021-03-17 17:00:00,4f77eb53224aabf2ebe03373048d11407738f24e1dcd6c2fa4388bb83f7489f1
after,pleia_energy,6,2,chronological,inner_calib,nan,4949,2021-03-17 17:10:00,2021-04-21 01:50:00,2021-03-17 18:10:00,2021-04-21 02:50:00,7c55a1af3c1813e63cc20955586f99aecc6189a2b1d0caae097ad3a5693af6fb
after,pleia_energy,6,2,chronological,inner_select,nan,4951,2021-04-21 03:10:00,2021-05-25 12:10:00,2021-04-21 04:10:00,2021-05-25 13:10:00,1b95885bd959657f0d1505f6455c91dfcaf78fa9649478e989853104b5d655ff
after,pleia_energy,6,2,chronological,refit_train,nan,14850,2021-01-07 23:00:00,2021-04-21 01:50:00,2021-01-08 00:00:00,2021-04-21 02:50:00,c21c125ed8b2b56ebab6814a8c4c6928ac9b4775caaa9582d3c5ea87dcb4ad99
after,pleia_energy,6,2,chronological,refit_calibration,nan,4951,2021-04-21 03:10:00,2021-05-25 12:10:00,2021-04-21 04:10:00,2021-05-25 13:10:00,1b95885bd959657f0d1505f6455c91dfcaf78fa9649478e989853104b5d655ff
after,pleia_energy,6,2,chronological,outer_test,nan,9907,2021-05-25 13:20:00,2021-08-02 08:20:00,2021-05-25 14:20:00,2021-08-02 09:20:00,061c08c3374dc0f9d45dfa8547f11e8a31a823c67efe645c11e25597c6f32a22
after,rico,5,0,whole_run_group_blocked,inner_train,P1S1,221,2023-07-26 15:15:00,2023-07-26 18:55:00,2023-07-26 15:20:00,2023-07-26 19:00:00,dd9ebc5f6a82207938196b86764e6e46d434d188910f9c995a305421daef9c01
after,rico,5,0,whole_run_group_blocked,inner_train,P1S2,221,2023-07-26 19:15:00,2023-07-26 22:55:00,2023-07-26 19:20:00,2023-07-26 23:00:00,d6a41066ac7e4cfd61b644d9797f4b574996485696641aaaccdd09c442e07244
after,rico,5,0,whole_run_group_blocked,inner_train,P1S4,221,2023-07-27 03:15:00,2023-07-27 06:55:00,2023-07-27 03:20:00,2023-07-27 07:00:00,6e8e598895c62af791a466e61a0a544e7519bc64122115970fa9c9ecd45a5c57
after,rico,5,0,whole_run_group_blocked,inner_train,P1S5,221,2023-07-27 07:15:00,2023-07-27 10:55:00,2023-07-27 07:20:00,2023-07-27 11:00:00,a3ae4d33c48b91a0de1fe9c9df33832fb91d8eb96900c1e88d9f3bc9209d93aa
after,rico,5,0,whole_run_group_blocked,inner_train,P1S7,221,2023-07-27 15:15:00,2023-07-27 18:55:00,2023-07-27 15:20:00,2023-07-27 19:00:00,90d58b9bd16cf8e530469992d18fa7f3b1c73269d18867b33aed627523a53e67
