phase,dataset,horizon,outer_fold,scheme,stage,n_scale_rows,n_outside_permitted_train,n_outer_test_scale_rows,scale_origin_max,scale_target_max,scale_membership_sha256
after,pleia,6,2,chronological,outer,14850,0,0,2021-04-21 02:00:00,2021-04-21 03:00:00,ef9d6a6abac88bf6870ca419233277f25ca38ffcec8d2e50ef36e5a7ae619400
after,pleia_energy,1,0,chronological,inner,19812,0,0,2021-05-25 13:40:00,2021-05-25 13:50:00,05bf066261685ba456d0bb9458848d8e72e49bad957abb773837ea7e66cfb993
after,pleia_energy,1,0,chronological,outer,29719,0,0,2021-08-02 08:50:00,2021-08-02 09:00:00,31e1d93f3da94cb1b75691d4904ef23bd7e238661366d8119e4c0bb2c28f44ec
after,pleia_energy,1,1,chronological,inner,14858,0,0,2021-04-21 04:00:00,2021-04-21 04:10:00,44caea14eb9235d38ecc221b7d59fdc2f8f54bff0f52fbbd9e0bb1b805ca2387
after,pleia_energy,1,1,chronological,outer,22289,0,0,2021-06-11 18:30:00,2021-06-11 18:40:00,f1d706efa5c2655d6ef348d25bc102c124583aaffe33d5a6b50fc2b67ff872f2
after,pleia_energy,1,2,chronological,inner,9905,0,0,2021-03-17 18:30:00,2021-03-17 18:40:00,ff5a24fc296198bacaed612579aee609eb3332a932e4804c4d250626cb5df73d
after,pleia_energy,1,2,chronological,outer,14858,0,0,2021-04-21 04:00:00,2021-04-21 04:10:00,44caea14eb9235d38ecc221b7d59fdc2f8f54bff0f52fbbd9e0bb1b805ca2387
after,pleia_energy,3,0,chronological,inner,19808,0,0,2021-05-25 12:40:00,2021-05-25 13:10:00,fbfa29230f75b52022556d1818c8374cc973e8a106f798cc6f9a6443fe92699a
after,pleia_energy,3,0,chronological,outer,29715,0,0,2021-08-02 07:50:00,2021-08-02 08:20:00,15ffb953aff9e91e8a00af7478b500c69c35709363a2965be60fccf96bf297f6
after,pleia_energy,3,1,chronological,inner,14854,0,0,2021-04-21 03:00:00,2021-04-21 03:30:00,2f73fe830ec785d33477a241049962f7b05d60e98c85e3cb79dc9e403a9b0875
after,pleia_energy,3,1,chronological,outer,22285,0,0,2021-06-11 17:30:00,2021-06-11 18:00:00,c6214572228b7105c7dea4e41d566dd1cf09604b8891b6ebc67d7e8524ca4ec9
after,pleia_energy,3,2,chronological,inner,9901,0,0,2021-03-17 17:30:00,2021-03-17 18:00:00,1e61a5a62ea1351b69fe7f719f3a5fca6dc174ea9c48daf8301f48e081dee279
after,pleia_energy,3,2,chronological,outer,14855,0,0,2021-04-21 03:10:00,2021-04-21 03:40:00,9fc9e18746429e574996b5d318c420366de84a249898bc72faa113826ebf5288
after,pleia_energy,6,0,chronological,inner,19802,0,0,2021-05-25 11:10:00,2021-05-25 12:10:00,d3bc54a1667de7296e81808c890885f3a802caba2dd29f1fb7b0931bcec0af23
after,pleia_energy,6,0,chronological,outer,29710,0,0,2021-08-02 06:30:00,2021-08-02 07:30:00,37f214f5db11e13be7f13341da31d667571af3649262d1ae48885f7a7eba5a1b
after,pleia_energy,6,1,chronological,inner,14848,0,0,2021-04-21 01:30:00,2021-04-21 02:30:00,9f2d03d1090851cd30a75b61ec0e900f02d360a637466ef3aa4e77877666c919
after,pleia_energy,6,1,chronological,outer,22280,0,0,2021-06-11 16:10:00,2021-06-11 17:10:00,b212c8c561ac5bd2d37ff7d8160d061d0a9fca4d0141ab909973c2e767dbbf93
after,pleia_energy,6,2,chronological,inner,9895,0,0,2021-03-17 16:00:00,2021-03-17 17:00:00,4f77eb53224aabf2ebe03373048d11407738f24e1dcd6c2fa4388bb83f7489f1
after,pleia_energy,6,2,chronological,outer,14850,0,0,2021-04-21 01:50:00,2021-04-21 02:50:00,c21c125ed8b2b56ebab6814a8c4c6928ac9b4775caaa9582d3c5ea87dcb4ad99
after,rico,5,0,whole_run_group_blocked,inner,22763,0,0,2024-02-01 02:55:00,2024-02-01 03:00:00,37c49d3b679f9b348919c0efc2e131cee344dd6a21f446911c8b2d6b996b060f
after,rico,5,0,whole_run_group_blocked,outer,34034,0,0,2024-05-09 10:55:00,2024-05-09 11:00:00,287c138498c4ac430c341f2ae62b9625a58eb9dde5045c9cf3b7e4d555aa5cbe
after,rico,5,1,whole_run_group_blocked,inner,22542,0,0,2024-01-31 22:55:00,2024-01-31 23:00:00,358040aa850ca363e4771baea2d07d1555c8c38990cd0b75813eea6a21b7594d
after,rico,5,1,whole_run_group_blocked,outer,33813,0,0,2024-05-09 06:55:00,2024-05-09 07:00:00,fdd06e09f2c7460b0b4d7da508cc2034528cfbd12bf5bab0314157b5d02cac58
after,rico,5,2,whole_run_group_blocked,inner,22542,0,0,2024-01-31 22:55:00,2024-01-31 23:00:00,358040aa850ca363e4771baea2d07d1555c8c38990cd0b75813eea6a21b7594d
after,rico,5,2,whole_run_group_blocked,outer,33813,0,0,2024-05-09 06:55:00,2024-05-09 07:00:00,fdd06e09f2c7460b0b4d7da508cc2034528cfbd12bf5bab0314157b5d02cac58
after,rico,15,0,whole_run_group_blocked,inner,21733,0,0,2024-02-01 02:45:00,2024-02-01 03:00:00,51a9f5193f87ff3799e7e259d811a4f95d6ca4ce80f49e3bb0324fbb6ca2a7d7
after,rico,15,0,whole_run_group_blocked,outer,32494,0,0,2024-05-09 10:45:00,2024-05-09 11:00:00,69e429db015c3dfab7412acb1481378bad7c1c752af5b1ad0e016558fd1d04ad
after,rico,15,1,whole_run_group_blocked,inner,21522,0,0,2024-01-31 22:45:00,2024-01-31 23:00:00,df53e2ea484548a112c55b0427b80d89bd67e7273571cd55d719739d29edb460
after,rico,15,1,whole_run_group_blocked,outer,32283,0,0,2024-05-09 06:45:00,2024-05-09 07:00:00,161c87b6cd622e14c71351f8bb0ae5dd3e4cad6ae38f62bbe4e97c6ccad57035
after,rico,15,2,whole_run_group_blocked,inner,21522,0,0,2024-01-31 22:45:00,2024-01-31 23:00:00,df53e2ea484548a112c55b0427b80d89bd67e7273571cd55d719739d29edb460
after,rico,15,2,whole_run_group_blocked,outer,32283,0,0,2024-05-09 06:45:00,2024-05-09 07:00:00,161c87b6cd622e14c71351f8bb0ae5dd3e4cad6ae38f62bbe4e97c6ccad57035
after,rico,30,0,whole_run_group_blocked,inner,20188,0,0,2024-02-01 02:30:00,2024-02-01 03:00:00,fa61b3ed55af3c37a36b7dd9803bf0a93f035a3de34b4e788cc9c26355aa8a7b
after,rico,30,0,whole_run_group_blocked,outer,30184,0,0,2024-05-09 10:30:00,2024-05-09 11:00:00,d6bf594be8128eafe72b950b861a231454fe59b458a23579d898ace21d54112c
after,rico,30,1,whole_run_group_blocked,inner,19992,0,0,2024-01-31 22:30:00,2024-01-31 23:00:00,f2e09b3648c2d3de449bf70b0fb402e84c5bff2b91d1ef4726afbac9d448aef7
after,rico,30,1,whole_run_group_blocked,outer,29988,0,0,2024-05-09 06:30:00,2024-05-09 07:00:00,c212e50f5d5e5f3f9304699a10c6be494701c07bf832b3f719cc463badf933cf
after,rico,30,2,whole_run_group_blocked,inner,19992,0,0,2024-01-31 22:30:00,2024-01-31 23:00:00,f2e09b3648c2d3de449bf70b0fb402e84c5bff2b91d1ef4726afbac9d448aef7
after,rico,30,2,whole_run_group_blocked,outer,29988,0,0,2024-05-09 06:30:00,2024-05-09 07:00:00,c212e50f5d5e5f3f9304699a10c6be494701c07bf832b3f719cc463badf933cf
after,rico,60,0,whole_run_group_blocked,inner,17098,0,0,2024-02-01 02:00:00,2024-02-01 03:00:00,304e8157c77d81a9d05717f0931e0d78a219863685ab7beaaaf4882932ec2694
after,rico,60,0,whole_run_group_blocked,outer,25564,0,0,2024-05-09 10:00:00,2024-05-09 11:00:00,4936678983fb36825b8f32bf527d00c1e1cbefde4c635c0f84365f1482e9653b
after,rico,60,1,whole_run_group_blocked,inner,16932,0,0,2024-01-31 22:00:00,2024-01-31 23:00:00,c23a06b8eeb9451fe016064c649a66411c303d221dd114d5733ecace05743ea7
after,rico,60,1,whole_run_group_blocked,outer,25398,0,0,2024-05-09 06:00:00,2024-05-09 07:00:00,3703019fb92303501d1d6a69b90571e2a1a23e9150c1e1be198bdb1d9e0fd82f
after,rico,60,2,whole_run_group_blocked,inner,16932,0,0,2024-01-31 22:00:00,2024-01-31 23:00:00,c23a06b8eeb9451fe016064c649a66411c303d221dd114d5733ecace05743ea7
after,rico,60,2,whole_run_group_blocked,outer,25398,0,0,2024-05-09 06:00:00,2024-05-09 07:00:00,3703019fb92303501d1d6a69b90571e2a1a23e9150c1e1be198bdb1d9e0fd82f
after,bdg2,1,0,chronological,inner,69435,0,0,2016-10-23 10:00:00,2016-10-23 11:00:00,8ca857ad5e71308e83fc61892a09811a0eeee58400a89601f0f3cf2d130a1ca6
after,bdg2,1,0,chronological,outer,104167,0,0,2017-03-17 05:00:00,2017-03-17 06:00:00,9fc817e6761681396c17ed6a7b13be7afb413aee99e15b6ca4e8a85f58c523c7
after,bdg2,1,1,chronological,inner,52055,0,0,2016-08-12 00:00:00,2016-08-12 01:00:00,f7582fd249debf18483074e2ce664baebf7eec88053e67107a1ed6f2b346b605
after,bdg2,1,1,chronological,outer,78119,0,0,2016-11-28 15:00:00,2016-11-28 16:00:00,a406167fa0892da7102eb5464a197ea7dbe29b9fe19d457f0bd7bf07336a42e5
after,bdg2,1,2,chronological,inner,34693,0,0,2016-05-31 15:00:00,2016-05-31 16:00:00,20675bf8c5aab215d2bba0064ada736596c69acfed33acf11b4bad71a79816bd
after,bdg2,1,2,chronological,outer,52055,0,0,2016-08-12 00:00:00,2016-08-12 01:00:00,f7582fd249debf18483074e2ce664baebf7eec88053e67107a1ed6f2b346b605
after,bdg2,3,0,chronological,inner,69395,0,0,2016-10-23 04:00:00,2016-10-23 07:00:00,479068908640749114719e8d4cac32d110e682187da0ff1ebdbccad9c950ce4e
after,bdg2,3,0,chronological,outer,104127,0,0,2017-03-16 23:00:00,2017-03-17 02:00:00,6a0ed72722366b067cea0cb7f70353f608fe14f95ff7e77c76a42b08974313cb
after,bdg2,3,1,chronological,inner,52015,0,0,2016-08-11 18:00:00,2016-08-11 21:00:00,7fa1150a9705b262173ae1ec8055d1600a531e9b8552e7374980d91ef74e89c8
after,bdg2,3,1,chronological,outer,78079,0,0,2016-11-28 09:00:00,2016-11-28 12:00:00,bfd6136da7519a6bd854f22473d0f725b874cf1db33f9593dc6e5eb4974d8772
after,bdg2,3,2,chronological,inner,34653,0,0,2016-05-31 09:00:00,2016-05-31 12:00:00,f1d270de2e00a281dd85a90ffbe3a7f89219c2bf2f40ca9534e79e63d8e4d185
after,bdg2,3,2,chronological,outer,52025,0,0,2016-08-11 19:00:00,2016-08-11 22:00:00,15e1c49dfd596cfa8be3f5d0d66ffc5fcccd3ebfa78e138961746d621e3e26fc
after,bdg2,6,0,chronological,inner,69335,0,0,2016-10-22 19:00:00,2016-10-23 01:00:00,b2628ec603ee443144abe8242d57c0a41975a057d59aa13a22b60115c46ee3f7
after,bdg2,6,0,chronological,outer,104077,0,0,2017-03-16 15:00:00,2017-03-16 21:00:00,af3932ea56cc5e1055831b76cae090a8d80f6f765e91422d33af4bec6220a394
after,bdg2,6,1,chronological,inner,51955,0,0,2016-08-11 09:00:00,2016-08-11 15:00:00,791f72bba4947c6b8465b76a2b88801a5b0889dd9c5a825fedc0152dcc75f553
after,bdg2,6,1,chronological,outer,78029,0,0,2016-11-28 01:00:00,2016-11-28 07:00:00,ca6e75ce9d7390a652a4f7c7029e035f5cbc5da2914dc30d468499ee251c8b21
after,bdg2,6,2,chronological,inner,34593,0,0,2016-05-31 00:00:00,2016-05-31 06:00:00,46aaa60b2da5b6f17d71c2fbfd2bf79a00cbae690cae29880d540ead717a1a2d
after,bdg2,6,2,chronological,outer,51975,0,0,2016-08-11 11:00:00,2016-08-11 17:00:00,8db4409ae07e6120e5f1f9ee24cbce0eaab9a034c7425e7feccd4e243bf759de
