dataset,outer_fold,role,family,severity,requested,placed,effective,distinct_onsets,null,rejected,support
pleia,0,inner1_selection,bias,1.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,bias,2.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia,0,inner1_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,drift,0.5,5,5,5,5,0,0,True
pleia,0,inner1_selection,drift,1.0,5,5,5,5,0,0,True
pleia,0,inner1_selection,drift,2.0,5,5,5,5,0,0,True
pleia,0,outer_test,random_missing,0.5,6,6,5,5,1,0,True
pleia,0,outer_test,random_missing,1.0,7,7,6,6,1,0,True
pleia,0,outer_test,random_missing,2.0,8,8,6,6,2,0,True
pleia,0,outer_test,block_missing,0.5,9,9,9,9,0,0,True
pleia,0,outer_test,block_missing,1.0,10,10,10,10,0,0,True
pleia,0,outer_test,block_missing,2.0,10,10,10,10,0,0,True
pleia,0,outer_test,stuck,0.5,10,10,9,9,1,0,True
pleia,0,outer_test,stuck,1.0,10,10,8,8,2,0,True
pleia,0,outer_test,stuck,2.0,10,10,9,9,1,0,True
pleia,0,outer_test,dropout,0.5,10,10,10,10,0,0,True
pleia,0,outer_test,dropout,1.0,10,10,10,10,0,0,True
pleia,0,outer_test,dropout,2.0,10,10,10,10,0,0,True
pleia,0,outer_test,bias,0.5,10,10,10,10,0,0,True
pleia,0,outer_test,bias,1.0,9,9,9,9,0,0,True
pleia,0,outer_test,bias,2.0,8,8,8,8,0,0,True
pleia,0,outer_test,level_shift,0.5,7,7,7,7,0,0,True
pleia,0,outer_test,level_shift,1.0,6,6,6,6,0,0,True
pleia,0,outer_test,level_shift,2.0,5,5,5,5,0,0,True
pleia,0,outer_test,drift,0.5,5,5,5,5,0,0,True
pleia,0,outer_test,drift,1.0,5,5,5,5,0,0,True
pleia,0,outer_test,drift,2.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,random_missing,0.5,3,3,2,2,1,0,False
pleia,1,inner0_selection,random_missing,1.0,3,3,2,2,1,0,False
pleia,1,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False
pleia,1,inner0_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia,1,inner0_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,stuck,0.5,5,5,5,5,0,0,True
pleia,1,inner0_selection,stuck,1.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,stuck,2.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,dropout,0.5,5,5,5,5,0,0,True
pleia,1,inner0_selection,dropout,1.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,dropout,2.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,bias,0.5,5,5,5,5,0,0,True
pleia,1,inner0_selection,bias,1.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,bias,2.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia,1,inner0_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia,1,inner0_selection,drift,0.5,5,5,5,5,0,0,True
pleia,1,inner0_selection,drift,1.0,4,4,4,4,0,0,False
pleia,1,inner0_selection,drift,2.0,3,3,3,3,0,0,False
pleia,1,inner1_selection,random_missing,0.5,3,3,1,1,2,0,False
pleia,1,inner1_selection,random_missing,1.0,3,3,3,3,0,0,False
pleia,1,inner1_selection,random_missing,2.0,3,3,3,3,0,0,False
pleia,1,inner1_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia,1,inner1_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,stuck,0.5,5,5,5,5,0,0,True
pleia,1,inner1_selection,stuck,1.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,stuck,2.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,dropout,0.5,5,5,5,5,0,0,True
pleia,1,inner1_selection,dropout,1.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,dropout,2.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,bias,0.5,5,5,5,5,0,0,True
pleia,1,inner1_selection,bias,1.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,bias,2.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia,1,inner1_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia,1,inner1_selection,drift,0.5,5,5,5,5,0,0,True
pleia,1,inner1_selection,drift,1.0,4,4,4,4,0,0,False
pleia,1,inner1_selection,drift,2.0,3,3,3,3,0,0,False
pleia,1,outer_test,random_missing,0.5,6,6,2,2,4,0,False
pleia,1,outer_test,random_missing,1.0,7,7,6,6,1,0,True
pleia,1,outer_test,random_missing,2.0,8,8,8,8,0,0,True
pleia,1,outer_test,block_missing,0.5,9,9,9,9,0,0,True
pleia,1,outer_test,block_missing,1.0,10,10,10,10,0,0,True
pleia,1,outer_test,block_missing,2.0,10,10,10,10,0,0,True
pleia,1,outer_test,stuck,0.5,10,10,9,9,1,0,True
pleia,1,outer_test,stuck,1.0,10,10,9,9,1,0,True
pleia,1,outer_test,stuck,2.0,10,10,10,10,0,0,True
pleia,1,outer_test,dropout,0.5,10,10,10,10,0,0,True
pleia,1,outer_test,dropout,1.0,10,10,10,10,0,0,True
pleia,1,outer_test,dropout,2.0,10,10,10,10,0,0,True
pleia,1,outer_test,bias,0.5,10,10,10,10,0,0,True
pleia,1,outer_test,bias,1.0,9,9,9,9,0,0,True
pleia,1,outer_test,bias,2.0,8,8,8,8,0,0,True
pleia,1,outer_test,level_shift,0.5,7,7,7,7,0,0,True
pleia,1,outer_test,level_shift,1.0,6,6,6,6,0,0,True
pleia,1,outer_test,level_shift,2.0,5,5,5,5,0,0,True
pleia,1,outer_test,drift,0.5,5,5,5,5,0,0,True
pleia,1,outer_test,drift,1.0,5,5,5,5,0,0,True
pleia,1,outer_test,drift,2.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,random_missing,0.5,1,1,1,1,0,0,False
pleia,2,inner0_selection,random_missing,1.0,2,2,1,1,1,0,False
pleia,2,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False
pleia,2,inner0_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia,2,inner0_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,stuck,0.5,5,5,5,5,0,0,True
pleia,2,inner0_selection,stuck,1.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,stuck,2.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,dropout,0.5,5,5,5,5,0,0,True
pleia,2,inner0_selection,dropout,1.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,dropout,2.0,5,5,5,5,0,0,True
pleia,2,inner0_selection,bias,0.5,5,5,5,5,0,0,True
pleia,2,inner0_selection,bias,1.0,4,4,4,4,0,0,False
pleia,2,inner0_selection,bias,2.0,3,3,3,3,0,0,False
pleia,2,inner0_selection,level_shift,0.5,2,2,2,2,0,0,False
pleia,2,inner0_selection,level_shift,1.0,1,1,1,1,0,0,False
pleia,2,inner0_selection,level_shift,2.0,0,0,0,0,0,0,False
pleia,2,inner0_selection,drift,0.5,0,0,0,0,0,0,False
pleia,2,inner0_selection,drift,1.0,0,0,0,0,0,0,False
pleia,2,inner0_selection,drift,2.0,0,0,0,0,0,0,False
pleia,2,inner1_selection,random_missing,0.5,1,1,1,1,0,0,False
pleia,2,inner1_selection,random_missing,1.0,2,2,2,2,0,0,False
pleia,2,inner1_selection,random_missing,2.0,3,3,2,2,1,0,False
pleia,2,inner1_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia,2,inner1_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia,2,inner1_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia,2,inner1_selection,stuck,0.5,5,5,5,5,0,0,True
pleia,2,inner1_selection,stuck,1.0,5,5,5,5,0,0,True
pleia,2,inner1_selection,stuck,2.0,5,5,5,5,0,0,True
pleia,2,inner1_selection,dropout,0.5,5,5,5,5,0,0,True
pleia,2,inner1_selection,dropout,1.0,5,5,5,5,0,0,True
pleia,2,inner1_selection,dropout,2.0,5,5,5,5,0,0,True
pleia,2,inner1_selection,bias,0.5,5,5,5,5,0,0,True
pleia,2,inner1_selection,bias,1.0,4,4,4,4,0,0,False
pleia,2,inner1_selection,bias,2.0,3,3,3,3,0,0,False
pleia,2,inner1_selection,level_shift,0.5,2,2,2,2,0,0,False
pleia,2,inner1_selection,level_shift,1.0,1,1,1,1,0,0,False
pleia,2,inner1_selection,level_shift,2.0,0,0,0,0,0,0,False
pleia,2,inner1_selection,drift,0.5,0,0,0,0,0,0,False
pleia,2,inner1_selection,drift,1.0,0,0,0,0,0,0,False
pleia,2,inner1_selection,drift,2.0,0,0,0,0,0,0,False
pleia,2,outer_test,random_missing,0.5,6,6,2,2,4,0,False
pleia,2,outer_test,random_missing,1.0,7,7,6,6,1,0,True
pleia,2,outer_test,random_missing,2.0,8,8,8,8,0,0,True
pleia,2,outer_test,block_missing,0.5,9,9,9,9,0,0,True
pleia,2,outer_test,block_missing,1.0,10,10,10,10,0,0,True
pleia,2,outer_test,block_missing,2.0,10,10,10,10,0,0,True
pleia,2,outer_test,stuck,0.5,10,10,9,9,1,0,True
pleia,2,outer_test,stuck,1.0,10,10,10,10,0,0,True
pleia,2,outer_test,stuck,2.0,10,10,10,10,0,0,True
pleia,2,outer_test,dropout,0.5,10,10,10,10,0,0,True
pleia,2,outer_test,dropout,1.0,10,10,10,10,0,0,True
pleia,2,outer_test,dropout,2.0,10,10,10,10,0,0,True
pleia,2,outer_test,bias,0.5,10,10,10,10,0,0,True
pleia,2,outer_test,bias,1.0,9,9,9,9,0,0,True
pleia,2,outer_test,bias,2.0,8,8,8,8,0,0,True
pleia,2,outer_test,level_shift,0.5,7,7,7,7,0,0,True
pleia,2,outer_test,level_shift,1.0,6,6,6,6,0,0,True
pleia,2,outer_test,level_shift,2.0,5,5,5,5,0,0,True
pleia,2,outer_test,drift,0.5,5,5,5,5,0,0,True
pleia,2,outer_test,drift,1.0,5,5,5,5,0,0,True
pleia,2,outer_test,drift,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,random_missing,0.5,6,6,2,2,4,0,False
pleia_energy,0,inner0_selection,random_missing,1.0,7,7,5,5,2,0,True
pleia_energy,0,inner0_selection,random_missing,2.0,8,8,7,7,1,0,True
pleia_energy,0,inner0_selection,block_missing,0.5,9,9,9,9,0,0,True
pleia_energy,0,inner0_selection,block_missing,1.0,10,10,10,10,0,0,True
pleia_energy,0,inner0_selection,block_missing,2.0,9,9,9,9,0,0,True
pleia_energy,0,inner0_selection,stuck,0.5,8,8,8,8,0,0,True
pleia_energy,0,inner0_selection,stuck,1.0,7,7,7,7,0,0,True
pleia_energy,0,inner0_selection,stuck,2.0,6,6,6,6,0,0,True
pleia_energy,0,inner0_selection,dropout,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,dropout,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,dropout,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,bias,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,bias,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,bias,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,drift,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,drift,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner0_selection,drift,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,random_missing,0.5,6,6,2,2,4,0,False
pleia_energy,0,inner1_selection,random_missing,1.0,7,7,7,7,0,0,True
pleia_energy,0,inner1_selection,random_missing,2.0,8,8,7,7,1,0,True
pleia_energy,0,inner1_selection,block_missing,0.5,9,9,9,9,0,0,True
pleia_energy,0,inner1_selection,block_missing,1.0,10,10,10,10,0,0,True
pleia_energy,0,inner1_selection,block_missing,2.0,9,9,9,9,0,0,True
pleia_energy,0,inner1_selection,stuck,0.5,8,8,8,8,0,0,True
pleia_energy,0,inner1_selection,stuck,1.0,7,7,7,7,0,0,True
pleia_energy,0,inner1_selection,stuck,2.0,6,6,6,6,0,0,True
pleia_energy,0,inner1_selection,dropout,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,dropout,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,dropout,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,bias,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,bias,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,bias,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,drift,0.5,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,drift,1.0,5,5,5,5,0,0,True
pleia_energy,0,inner1_selection,drift,2.0,5,5,5,5,0,0,True
pleia_energy,0,outer_test,random_missing,0.5,6,6,4,4,2,0,False
pleia_energy,0,outer_test,random_missing,1.0,7,7,4,4,3,0,False
pleia_energy,0,outer_test,random_missing,2.0,8,8,8,8,0,0,True
pleia_energy,0,outer_test,block_missing,0.5,9,9,9,9,0,0,True
pleia_energy,0,outer_test,block_missing,1.0,10,10,10,10,0,0,True
pleia_energy,0,outer_test,block_missing,2.0,10,10,10,10,0,0,True
pleia_energy,0,outer_test,stuck,0.5,10,10,10,10,0,0,True
pleia_energy,0,outer_test,stuck,1.0,10,10,10,10,0,0,True
pleia_energy,0,outer_test,stuck,2.0,10,10,9,9,1,0,True
pleia_energy,0,outer_test,dropout,0.5,10,10,10,10,0,0,True
pleia_energy,0,outer_test,dropout,1.0,10,10,10,10,0,0,True
pleia_energy,0,outer_test,dropout,2.0,10,10,10,10,0,0,True
pleia_energy,0,outer_test,bias,0.5,10,10,10,10,0,0,True
pleia_energy,0,outer_test,bias,1.0,9,9,9,9,0,0,True
pleia_energy,0,outer_test,bias,2.0,8,8,8,8,0,0,True
pleia_energy,0,outer_test,level_shift,0.5,7,7,7,7,0,0,True
pleia_energy,0,outer_test,level_shift,1.0,6,6,6,6,0,0,True
pleia_energy,0,outer_test,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,0,outer_test,drift,0.5,5,5,5,5,0,0,True
pleia_energy,0,outer_test,drift,1.0,5,5,5,5,0,0,True
pleia_energy,0,outer_test,drift,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,random_missing,0.5,3,3,2,2,1,0,False
pleia_energy,1,inner0_selection,random_missing,1.0,3,3,3,3,0,0,False
pleia_energy,1,inner0_selection,random_missing,2.0,3,3,2,2,1,0,False
pleia_energy,1,inner0_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia_energy,1,inner0_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,stuck,0.5,5,5,4,4,1,0,False
pleia_energy,1,inner0_selection,stuck,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,stuck,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,dropout,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,dropout,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,dropout,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,bias,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,bias,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,bias,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,drift,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner0_selection,drift,1.0,4,4,4,4,0,0,False
pleia_energy,1,inner0_selection,drift,2.0,3,3,3,3,0,0,False
pleia_energy,1,inner1_selection,random_missing,0.5,3,3,2,2,1,0,False
pleia_energy,1,inner1_selection,random_missing,1.0,3,3,3,3,0,0,False
pleia_energy,1,inner1_selection,random_missing,2.0,3,3,3,3,0,0,False
pleia_energy,1,inner1_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia_energy,1,inner1_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,stuck,0.5,5,5,4,4,1,0,False
pleia_energy,1,inner1_selection,stuck,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,stuck,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,dropout,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,dropout,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,dropout,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,bias,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,bias,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,bias,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,level_shift,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,level_shift,1.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,drift,0.5,5,5,5,5,0,0,True
pleia_energy,1,inner1_selection,drift,1.0,4,4,4,4,0,0,False
pleia_energy,1,inner1_selection,drift,2.0,3,3,3,3,0,0,False
pleia_energy,1,outer_test,random_missing,0.5,6,6,3,3,3,0,False
pleia_energy,1,outer_test,random_missing,1.0,7,7,4,4,3,0,False
pleia_energy,1,outer_test,random_missing,2.0,8,8,8,8,0,0,True
pleia_energy,1,outer_test,block_missing,0.5,9,9,9,9,0,0,True
pleia_energy,1,outer_test,block_missing,1.0,10,10,10,10,0,0,True
pleia_energy,1,outer_test,block_missing,2.0,10,10,10,10,0,0,True
pleia_energy,1,outer_test,stuck,0.5,10,10,10,10,0,0,True
pleia_energy,1,outer_test,stuck,1.0,10,10,9,9,1,0,True
pleia_energy,1,outer_test,stuck,2.0,10,10,8,8,2,0,True
pleia_energy,1,outer_test,dropout,0.5,10,10,8,8,2,0,True
pleia_energy,1,outer_test,dropout,1.0,10,10,10,10,0,0,True
pleia_energy,1,outer_test,dropout,2.0,10,10,10,10,0,0,True
pleia_energy,1,outer_test,bias,0.5,10,10,10,10,0,0,True
pleia_energy,1,outer_test,bias,1.0,9,9,9,9,0,0,True
pleia_energy,1,outer_test,bias,2.0,8,8,8,8,0,0,True
pleia_energy,1,outer_test,level_shift,0.5,7,7,7,7,0,0,True
pleia_energy,1,outer_test,level_shift,1.0,6,6,6,6,0,0,True
pleia_energy,1,outer_test,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,1,outer_test,drift,0.5,5,5,5,5,0,0,True
pleia_energy,1,outer_test,drift,1.0,5,5,5,5,0,0,True
pleia_energy,1,outer_test,drift,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,random_missing,0.5,1,1,0,0,1,0,False
pleia_energy,2,inner0_selection,random_missing,1.0,2,2,2,2,0,0,False
pleia_energy,2,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False
pleia_energy,2,inner0_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia_energy,2,inner0_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,stuck,0.5,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,stuck,1.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,stuck,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,dropout,0.5,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,dropout,1.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,dropout,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,bias,0.5,5,5,5,5,0,0,True
pleia_energy,2,inner0_selection,bias,1.0,4,4,4,4,0,0,False
pleia_energy,2,inner0_selection,bias,2.0,3,3,3,3,0,0,False
pleia_energy,2,inner0_selection,level_shift,0.5,2,2,2,2,0,0,False
pleia_energy,2,inner0_selection,level_shift,1.0,1,1,1,1,0,0,False
pleia_energy,2,inner0_selection,level_shift,2.0,0,0,0,0,0,0,False
pleia_energy,2,inner0_selection,drift,0.5,0,0,0,0,0,0,False
pleia_energy,2,inner0_selection,drift,1.0,0,0,0,0,0,0,False
pleia_energy,2,inner0_selection,drift,2.0,0,0,0,0,0,0,False
pleia_energy,2,inner1_selection,random_missing,0.5,1,1,0,0,1,0,False
pleia_energy,2,inner1_selection,random_missing,1.0,2,2,2,2,0,0,False
pleia_energy,2,inner1_selection,random_missing,2.0,3,3,3,3,0,0,False
pleia_energy,2,inner1_selection,block_missing,0.5,4,4,4,4,0,0,False
pleia_energy,2,inner1_selection,block_missing,1.0,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,block_missing,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,stuck,0.5,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,stuck,1.0,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,stuck,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,dropout,0.5,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,dropout,1.0,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,dropout,2.0,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,bias,0.5,5,5,5,5,0,0,True
pleia_energy,2,inner1_selection,bias,1.0,4,4,4,4,0,0,False
pleia_energy,2,inner1_selection,bias,2.0,3,3,3,3,0,0,False
pleia_energy,2,inner1_selection,level_shift,0.5,2,2,2,2,0,0,False
pleia_energy,2,inner1_selection,level_shift,1.0,1,1,1,1,0,0,False
pleia_energy,2,inner1_selection,level_shift,2.0,0,0,0,0,0,0,False
pleia_energy,2,inner1_selection,drift,0.5,0,0,0,0,0,0,False
pleia_energy,2,inner1_selection,drift,1.0,0,0,0,0,0,0,False
pleia_energy,2,inner1_selection,drift,2.0,0,0,0,0,0,0,False
pleia_energy,2,outer_test,random_missing,0.5,6,6,1,1,5,0,False
pleia_energy,2,outer_test,random_missing,1.0,7,7,6,6,1,0,True
pleia_energy,2,outer_test,random_missing,2.0,8,8,8,8,0,0,True
pleia_energy,2,outer_test,block_missing,0.5,9,9,9,9,0,0,True
pleia_energy,2,outer_test,block_missing,1.0,10,10,10,10,0,0,True
pleia_energy,2,outer_test,block_missing,2.0,10,10,10,10,0,0,True
pleia_energy,2,outer_test,stuck,0.5,10,10,10,10,0,0,True
pleia_energy,2,outer_test,stuck,1.0,10,10,10,10,0,0,True
pleia_energy,2,outer_test,stuck,2.0,10,10,10,10,0,0,True
pleia_energy,2,outer_test,dropout,0.5,10,10,10,10,0,0,True
pleia_energy,2,outer_test,dropout,1.0,10,10,10,10,0,0,True
pleia_energy,2,outer_test,dropout,2.0,10,10,10,10,0,0,True
pleia_energy,2,outer_test,bias,0.5,10,10,10,10,0,0,True
pleia_energy,2,outer_test,bias,1.0,9,9,9,9,0,0,True
pleia_energy,2,outer_test,bias,2.0,8,8,8,8,0,0,True
pleia_energy,2,outer_test,level_shift,0.5,7,7,7,7,0,0,True
pleia_energy,2,outer_test,level_shift,1.0,6,6,6,6,0,0,True
pleia_energy,2,outer_test,level_shift,2.0,5,5,5,5,0,0,True
pleia_energy,2,outer_test,drift,0.5,5,5,5,5,0,0,True
pleia_energy,2,outer_test,drift,1.0,5,5,5,5,0,0,True
pleia_energy,2,outer_test,drift,2.0,5,5,5,5,0,0,True
rico,0,inner0_selection,random_missing,0.5,1,1,1,1,0,0,False
rico,0,inner0_selection,random_missing,1.0,2,2,2,2,0,0,False
rico,0,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False
rico,0,inner0_selection,block_missing,0.5,3,3,3,3,0,0,False
rico,0,inner0_selection,block_missing,1.0,3,3,3,3,0,0,False
rico,0,inner0_selection,block_missing,2.0,2,2,2,2,0,0,False
rico,0,inner0_selection,stuck,0.5,1,1,1,1,0,0,False
rico,0,inner0_selection,stuck,1.0,0,0,0,0,0,0,False
rico,0,inner0_selection,stuck,2.0,0,0,0,0,0,0,False
