dataset,outer_fold,role,requested,attempted,placed,effective,null,rejected,asset_days,hostable_asset_days,requested_incidence,realised_incidence,requested_schedule_incidence,duration_steps,guard_steps,tolerance_steps,catalogue_seed,namespace_seed,catalogue_hash,zero_control
pleia,0,outer_test,34,34,34,31,3,0,68.79861111111111,68.79861111111111,0.5,0.450590491571616,0.4941960230140305,6,36,6,42,15926773726171114603,b88f54415a6a0a72c1d048290c070bf63c6aed10cc4546031b7c1f058ece90bb,False
pleia,0,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,43,6053992251327524112,85126c0995ebc70b3dc21ad325d9e5dae3ea0d31bd462968e33a774f07d1d6af,False
pleia,0,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,44,1658345985366820726,887c27d6a8aec67d1eb711e651dedb5a90d57b5021e304aacba59adbe8d5c1c6,False
pleia,0,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,45,14239506544898383903,7de1a58d9a66bc491987ddd107ce35ed09533505a6dd299de31204f4f463d63b,False
pleia,0,outer_test,34,34,34,32,2,0,68.79861111111111,68.79861111111111,0.5,0.4651256687190875,0.4941960230140305,6,36,6,46,10890991860074803145,47b01d67023f0d3b216f6040ce7cf796fca4a38b7585e43f4bc31a1203c29c27,False
pleia,1,inner0_selection,19,19,19,18,1,0,38.6875,38.6875,0.5,0.46526655896607433,0.4911147011308562,6,36,6,42,12125394597200084845,e92e5193525c8d0527bc1aa1a8580c1b30270bc5ae48adf7c098c0dff141b8a6,False
pleia,1,inner0_selection,19,19,19,19,0,0,38.6875,38.6875,0.5,0.4911147011308562,0.4911147011308562,6,36,6,43,11037215675469031191,15c1f01f55055006ba901d72665fa4114f9bec844b9af6f6a6cfcc9344c1e2d7,False
pleia,1,inner0_selection,19,19,19,19,0,0,38.6875,38.6875,0.5,0.4911147011308562,0.4911147011308562,6,36,6,44,4161522684240399390,2d06eca2d1622351a3ba1e84cfa26f3878ff25a5f83e1b9ab16de20494d3a4ea,False
pleia,1,inner0_selection,19,19,19,19,0,0,38.6875,38.6875,0.5,0.4911147011308562,0.4911147011308562,6,36,6,45,17050582104384104440,c0caacf0322dd1e7175328362d2a1415755dd0fc67db4db3c027233e2a3a58bf,False
pleia,1,inner0_selection,19,19,19,18,1,0,38.6875,38.6875,0.5,0.46526655896607433,0.4911147011308562,6,36,6,46,14645769644954738100,40755d7fdd91dfd4df81830822af2e6eddac5c653859b1ba7736d99719f6af06,False
pleia,1,inner1_selection,19,19,19,19,0,0,38.701388888888886,38.701388888888886,0.5,0.49093845325677377,0.49093845325677377,6,36,6,42,8627056439425928430,c413c6471dca0ed1cc2f9cc4436afd1c500fbe96c4d864d1b16538c405965041,False
pleia,1,inner1_selection,19,19,19,19,0,0,38.701388888888886,38.701388888888886,0.5,0.49093845325677377,0.49093845325677377,6,36,6,43,7397273264788153332,4c5544b2798705e940f8cadc405692d19aac1e27912c5f3f55f3ba10605a21fc,False
pleia,1,inner1_selection,19,19,19,19,0,0,38.701388888888886,38.701388888888886,0.5,0.49093845325677377,0.49093845325677377,6,36,6,44,17993999114967293307,921f09102932b2d1de4d7847f1ca1235dd7eb5bfead9267e541eec140d360515,False
pleia,1,inner1_selection,19,19,19,18,1,0,38.701388888888886,38.701388888888886,0.5,0.46509958729589096,0.49093845325677377,6,36,6,45,11213777390560522703,c2fffb7eab03b1d93d03a304572dcfe3140169367f7001b15aa8eb8b7799c21c,False
pleia,1,inner1_selection,19,19,19,18,1,0,38.701388888888886,38.701388888888886,0.5,0.46509958729589096,0.49093845325677377,6,36,6,46,9266446980385864779,8037f90717ff460cff0a2aee9b9994529910bfdd3a4d296f35bb32ee1e2c3506,False
pleia,1,outer_test,34,34,34,30,4,0,68.79861111111111,68.79861111111111,0.5,0.4360553144241445,0.4941960230140305,6,36,6,42,480215871051517213,dbea915f7374d883f732edbc206f07fbf98cca1e57666316ef84d9e727b2a1fb,False
pleia,1,outer_test,34,34,34,32,2,0,68.79861111111111,68.79861111111111,0.5,0.4651256687190875,0.4941960230140305,6,36,6,43,12152497995230953705,867a39c1708656f30b0d6081eb051b456cefee47813ef2805c9ee1bdc24afd1a,False
pleia,1,outer_test,34,34,34,34,0,0,68.79861111111111,68.79861111111111,0.5,0.4941960230140305,0.4941960230140305,6,36,6,44,5900550056493154494,f6ebe39d37e103469ae93eabf5cc093a6c751d972ed11a95e3389c3f3a90ca97,False
pleia,1,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,45,3697490684599897114,0e129bdc5e2770a267c45b899c92e5554071d33a09e670af30addfbefde4043b,False
pleia,1,outer_test,34,34,34,34,0,0,68.79861111111111,68.79861111111111,0.5,0.4941960230140305,0.4941960230140305,6,36,6,46,8561478390184253636,01d5c9eb0419f4979f123fae1a4eddea20f3699468715d122f473b77ad32bd97,False
pleia,2,inner0_selection,13,13,13,12,1,0,25.78472222222222,25.78472222222222,0.5,0.4653918664152976,0.5041745219499058,6,36,6,42,1568354047897888283,b1c6ee41e42c531557790a958797c84c17a026cf221535cc39d511ddc2c4786d,False
pleia,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,43,12372808706524367753,72569bb047ddec43ba4f051ed7d1e0853b3ddf7108d0c78aa3a68eb3552417ed,False
pleia,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,44,3518161681386920984,13c00ad000a0bfdeac608094c4f228613d9b9e1a217d6ec03f730c6829cac729,False
pleia,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,45,8332441602128062526,abb8f7359409d50edea56d7337f30bf78de6e99842ec7cbe2c8ec8a56819f349,False
pleia,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,46,11445228886767227823,029c871f0ea73d9d8642856f803f1a1b015995c5f173b237bab00b231d1922d8,False
pleia,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,42,5415007760664755493,882b8414b8b67abe22499aa28ac4668804d200845e9a37781fc2e3783f28c982,False
pleia,2,inner1_selection,13,13,13,12,1,0,25.79861111111111,25.79861111111111,0.5,0.4651413189771198,0.5039030955585464,6,36,6,43,15179886240607169384,d51a0f9bbf59f132679bb0c534796f04b3e771188abd9dcd49fcf94a00a5f09f,False
pleia,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,44,5463710761149133668,cd6d89edbab2740d5d9f03fd3a77643d5d5102f82f413648dd8061f3c31325b6,False
pleia,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,45,8919766681835924698,6fd45abdeca94e81f31adf63ff5374e911ec416726bf1b9d5fb0f63185c8e797,False
pleia,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,46,5481069542804104203,a97b2df3352bd594db94a1e75026b79964a720a7b02adffb729371ef8ecd7ac1,False
pleia,2,outer_test,34,34,34,31,3,0,68.79861111111111,68.79861111111111,0.5,0.450590491571616,0.4941960230140305,6,36,6,42,11793610654860503098,e65ed156d1ab5d4cef908f080b46be59c158c8af40c013eb9c4f4029eba6e182,False
pleia,2,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,43,6975289096492747178,30836241667d3adcb2c1a47b14ee638f5caf8f17cc3b753a66e074c8da58c08f,False
pleia,2,outer_test,34,34,34,32,2,0,68.79861111111111,68.79861111111111,0.5,0.4651256687190875,0.4941960230140305,6,36,6,44,12745482679825828935,055efc7db2d76a66ba23ebb6feba0a375b6de302017cdf06108d537dcb05140c,False
pleia,2,outer_test,34,34,34,34,0,0,68.79861111111111,68.79861111111111,0.5,0.4941960230140305,0.4941960230140305,6,36,6,45,9572740726376618278,000a15af48ae53a8f6e58a737778607817255aef91f6eb02b5f884b9a0848388,False
pleia,2,outer_test,34,34,34,34,0,0,68.79861111111111,68.79861111111111,0.5,0.4941960230140305,0.4941960230140305,6,36,6,46,6351673364943484524,419b4c6c8301a56b6d022f0491cc407069bdca50b1bb7ef747ddfa4d3232c095,False
pleia_energy,0,inner0_selection,26,26,26,24,2,0,51.59027777777778,51.59027777777778,0.5,0.4652039305424687,0.5039709247543411,6,36,6,42,16440059092347422249,cbcbe7f6b4e6cf57e24e8c35de5a9554457170dd54be619a61a45677577a9bef,False
pleia_energy,0,inner0_selection,26,26,26,24,2,0,51.59027777777778,51.59027777777778,0.5,0.4652039305424687,0.5039709247543411,6,36,6,43,4559360743816719639,bb619042f8f5d2782984c20d67aa19d7f1839a0b16f70c832b1a58e46144d5d9,False
pleia_energy,0,inner0_selection,26,26,26,25,1,0,51.59027777777778,51.59027777777778,0.5,0.4845874276484049,0.5039709247543411,6,36,6,44,9065490229993005488,40dbad6791a02d4b5e8016d665ae742de496d8f229d142ba65732f08045c5c92,False
pleia_energy,0,inner0_selection,26,26,26,25,1,0,51.59027777777778,51.59027777777778,0.5,0.4845874276484049,0.5039709247543411,6,36,6,45,3711046845505427269,070f536d1c90191d9a67229e1cac02fb460a74eee62495f6b20f56fcf3462372,False
pleia_energy,0,inner0_selection,26,26,26,25,1,0,51.59027777777778,51.59027777777778,0.5,0.4845874276484049,0.5039709247543411,6,36,6,46,8905059004071052608,b87d57cf6ce303f1c5c89221206ea61b0ba6a7e6579c36884a6ef83cead2b747,False
pleia_energy,0,inner1_selection,26,26,26,26,0,0,51.59722222222222,51.59722222222222,0.5,0.5039030955585464,0.5039030955585464,6,36,6,42,14633271678760567623,fc9e86d210c7d3d99911214cac70dd9be531c56ca2582a6887ff3ba5b39713cf,False
pleia_energy,0,inner1_selection,26,26,26,25,1,0,51.59722222222222,51.59722222222222,0.5,0.4845222072678331,0.5039030955585464,6,36,6,43,13574089029556973690,10aae862f7f518e2a4e5be6fd7a842dd43da8b6617cd0521cbd87c95e1ccc284,False
pleia_energy,0,inner1_selection,26,26,26,24,2,0,51.59722222222222,51.59722222222222,0.5,0.4651413189771198,0.5039030955585464,6,36,6,44,18008563056074860751,61162f37c05aaa1e78d9d8527c7c98f31c1ea6b31a026779573ecd50ec72ce50,False
pleia_energy,0,inner1_selection,26,26,26,25,1,0,51.59722222222222,51.59722222222222,0.5,0.4845222072678331,0.5039030955585464,6,36,6,45,7293384425046838142,c97ce8a3de914a4a1f886249822d2ed2e2113f47391b3a5a07a032deb49bdc3a,False
pleia_energy,0,inner1_selection,26,26,26,25,1,0,51.59722222222222,51.59722222222222,0.5,0.4845222072678331,0.5039030955585464,6,36,6,46,510005398508687441,a66b396008f3fa3db918dc0ad4b717580cde3e9c6f44187871e06fa9bfa66ad9,False
pleia_energy,0,outer_test,34,34,34,33,1,0,68.8125,68.8125,0.5,0.47956403269754766,0.4940962761126249,6,36,6,42,11010583768668203635,9afeab871450509310f184118892d8e404502703a0d5fb8c748f449b43ba3018,False
pleia_energy,0,outer_test,34,34,34,33,1,0,68.8125,68.8125,0.5,0.47956403269754766,0.4940962761126249,6,36,6,43,10170954549914509829,c7081f91a882006a28f5c1d5b91df2e2deefc804592c8b7c04c47768799699d6,False
pleia_energy,0,outer_test,34,34,34,33,1,0,68.8125,68.8125,0.5,0.47956403269754766,0.4940962761126249,6,36,6,44,18024926762317520029,96e27caf0561144c00e75a045ac8432830fa2f712551b2df8abd7409f6f8d35a,False
pleia_energy,0,outer_test,34,34,34,31,3,0,68.8125,68.8125,0.5,0.45049954586739327,0.4940962761126249,6,36,6,45,12850586810430948420,3ae1c4360e010dd0c40819141835166fd074ccf5f99680212d402ec2c02892b0,False
pleia_energy,0,outer_test,34,34,34,34,0,0,68.8125,68.8125,0.5,0.4940962761126249,0.4940962761126249,6,36,6,46,9939278162670948462,6c5c986260aed06650a73b90973a62cd2edc117000bbb5d481f2fdc3edb6a0e5,False
pleia_energy,1,inner0_selection,19,19,19,17,2,0,38.6875,38.6875,0.5,0.4394184168012924,0.4911147011308562,6,36,6,42,483262582242690832,82b470861aae5629f4e3c36b56a16ea6038385f834629e250fb8bf3f37b33cae,False
pleia_energy,1,inner0_selection,19,19,19,19,0,0,38.6875,38.6875,0.5,0.4911147011308562,0.4911147011308562,6,36,6,43,13670783308145342386,c1a7f9b486852aa5b0446e1712eb002faf81973059f5168478d184112e6a67e3,False
pleia_energy,1,inner0_selection,19,19,19,18,1,0,38.6875,38.6875,0.5,0.46526655896607433,0.4911147011308562,6,36,6,44,17158760271253193636,51ca04086023dd6b02ddedf3c30b3d0ab3e4e506e91197000985abf0f1fe6794,False
pleia_energy,1,inner0_selection,19,19,19,19,0,0,38.6875,38.6875,0.5,0.4911147011308562,0.4911147011308562,6,36,6,45,15002497715821592022,d93c9c6c70afce1a288a0bdb7e32223d035466a34ef9c3a6fe0e75110090a505,False
pleia_energy,1,inner0_selection,19,19,19,19,0,0,38.6875,38.6875,0.5,0.4911147011308562,0.4911147011308562,6,36,6,46,6815391914265091651,1efd094bb2964e062b41e2ff6f6e8a134148d4a40dcb8bb6ca81d206a15cd4e2,False
pleia_energy,1,inner1_selection,19,19,19,18,1,0,38.701388888888886,38.701388888888886,0.5,0.46509958729589096,0.49093845325677377,6,36,6,42,16084191600206510188,90535bbff13e753a596d71117a810f04359e5061b609fe1bda172ad1fcbb9304,False
pleia_energy,1,inner1_selection,19,19,19,19,0,0,38.701388888888886,38.701388888888886,0.5,0.49093845325677377,0.49093845325677377,6,36,6,43,3217784476733849214,e3753bf359d51b3e6fdd61241ac57c18a08e9a007997b4cd17775d875716970e,False
pleia_energy,1,inner1_selection,19,19,19,19,0,0,38.701388888888886,38.701388888888886,0.5,0.49093845325677377,0.49093845325677377,6,36,6,44,7890212787629882227,b7e29bc5bec7a55366cf59af5df19639beae06699cd01375e57b2f4d0de138b2,False
pleia_energy,1,inner1_selection,19,19,19,19,0,0,38.701388888888886,38.701388888888886,0.5,0.49093845325677377,0.49093845325677377,6,36,6,45,1653859600868031965,037354bb93e7636154c48b46337240be8ccd2c2d9c4d9e37f70eb6e6ac9d61bf,False
pleia_energy,1,inner1_selection,19,19,19,18,1,0,38.701388888888886,38.701388888888886,0.5,0.46509958729589096,0.49093845325677377,6,36,6,46,4353980715927099276,829e2b8307a5955893efff4a220af318d2ebac8abd7ed669d0155ef57f1235fc,False
pleia_energy,1,outer_test,34,34,34,30,4,0,68.79861111111111,68.79861111111111,0.5,0.4360553144241445,0.4941960230140305,6,36,6,42,5662082236592119228,f93a45d6effbf546e11e169549d152af32979b663db1c7ddca335d9447eac597,False
pleia_energy,1,outer_test,34,34,34,32,2,0,68.79861111111111,68.79861111111111,0.5,0.4651256687190875,0.4941960230140305,6,36,6,43,16215977670028306497,49fc6af0e89aa4b3cd968befb392cea14493755bb12cce10316202b42b9beb47,False
pleia_energy,1,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,44,16746426064136615718,708573704d80f40ca75ff71cdd8da5b72e919dd5dca306771d704fc744488b08,False
pleia_energy,1,outer_test,34,34,34,31,3,0,68.79861111111111,68.79861111111111,0.5,0.450590491571616,0.4941960230140305,6,36,6,45,226623920426881723,5a2cae4d8d10fdebf0ad5bac0e93abbe2e4d12d44bfb31ad997cafe123f9a7cd,False
pleia_energy,1,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,46,16227114203651274589,bef304f36d0f6df92144ba098e6ff705efed65e462bb007407a973247d73aa28,False
pleia_energy,2,inner0_selection,13,13,13,12,1,0,25.78472222222222,25.78472222222222,0.5,0.4653918664152976,0.5041745219499058,6,36,6,42,3983377853036897923,7594459a8b949d4f6a35835885b92a99c66bf35d5f3da8188171bc96451f5fcd,False
pleia_energy,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,43,10671185861264283956,1d1d7d623759c51101cd49be69b6dcd80c15181e93b7964b1cab93e203d34c76,False
pleia_energy,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,44,1798181031608558889,83a04a42ef223b2de6bf63c1ac3c1cc56d0728b77ec5329af20e09b88a515ea6,False
pleia_energy,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,45,16817445555778380554,76994e4f2e14d61365689c36764b8f023a27a82a2c3ffca706018e199d0fee5e,False
pleia_energy,2,inner0_selection,13,13,13,13,0,0,25.78472222222222,25.78472222222222,0.5,0.5041745219499058,0.5041745219499058,6,36,6,46,12675898535330899530,b3ca24661b6070272135928c3653921ee28f9fd7ed29c6eeb648d69f637cd206,False
pleia_energy,2,inner1_selection,13,13,13,12,1,0,25.79861111111111,25.79861111111111,0.5,0.4651413189771198,0.5039030955585464,6,36,6,42,2142241722342160563,86804e87fab417744b165a0c9e9e9bd45d8bd8fcdd51172a613f5f5192596310,False
pleia_energy,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,43,3861605009895277256,5b0a08ca91d63fbc4dabb8a0f60dfcd381c8cb445ef4cb5eeae2eb434a2e9ae5,False
pleia_energy,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,44,2107444994064215621,13688871c2691b6782a9e94a7f45933cd4e5657fabebc2a1f721c2412e969d96,False
pleia_energy,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,45,315082090237468542,8db3eef2225f29633140c16d2d38683424bdac11ffa4b85aa26585452f53e04a,False
pleia_energy,2,inner1_selection,13,13,13,13,0,0,25.79861111111111,25.79861111111111,0.5,0.5039030955585464,0.5039030955585464,6,36,6,46,2933690828547641130,3be2477cf521816bd93e5109cea09655ef1971c4f81aff4333d1ef2a17fff13a,False
pleia_energy,2,outer_test,34,34,34,31,3,0,68.79861111111111,68.79861111111111,0.5,0.450590491571616,0.4941960230140305,6,36,6,42,10369426473489893340,e655e2968ee1f60b9dce780699186ef9c493f8f2adcadeebe25c48b1264add6e,False
pleia_energy,2,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,43,18200249280409395539,eb8fd10a42766bef60dd2b125a86056c92aa7d856da9d9fe3e187851f61cdcf6,False
pleia_energy,2,outer_test,34,34,34,34,0,0,68.79861111111111,68.79861111111111,0.5,0.4941960230140305,0.4941960230140305,6,36,6,44,14808387715297597964,b1741356f84dd232a02b4076455638541b9a7179b8cba74ce3b0311ad07173ef,False
pleia_energy,2,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,45,13123326879149512226,933b63ca7f190f45db89d4a6efea1828546436b0947a32849fced847556a240c,False
pleia_energy,2,outer_test,34,34,34,33,1,0,68.79861111111111,68.79861111111111,0.5,0.479660845866559,0.4941960230140305,6,36,6,46,12493551020401169814,4ba6f699ee25210e8bcdceebccdb9eabdae039f1e4e84d7533a8043aee56450e,False
rico,0,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,42,1826541508100923982,e0a3feb30043664a8855d49918b253d4f46306ce17d25c564108af48be700771,False
rico,0,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,43,16197464935917578453,dd149d77df8b9f7dfb232b9b1a5a7d1df05f42827d6488b2ac7d771d751709e6,False
rico,0,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,44,6465086951586472958,dc7e626a035d5864640923036c1034caa689d555b7a3387df96f97a29471496a,False
rico,0,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,45,3797568340619236860,0aaa860812565a0fbe5dc116b289ec2fb0e3725bfd73b61361928d9a0498e9e1,False
rico,0,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,46,8288034889330033033,94d0072231c9a6d565e271d29d5456f3157c6ef572e38c2b3353f7aa0e63eb3b,False
rico,0,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,42,3715974450083275095,f833682c299c79a9ff8c984893632e9019c60ca27689872bde0fd596d84b98cf,False
rico,0,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,43,16262138354505205720,4987d262c7e403b7e8f82d8334885932bd7665568472b3da0b1197b8e3e47201,False
rico,0,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,44,17163605978406240341,f2e4ab415553adfcbacb5c61ab17a41f0dc5f4656605e31966813fcf2d0130b1,False
rico,0,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,45,10753077819439835254,df5f063a0b7bf51e52833dbe62670e12941c2f610ce5a8dadf19b1f8d33a5fce,False
rico,0,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,46,17770407640976630565,ec36185df53dcb96801ffad403624384ec8c7d68e0ec60db72598fc334410fa5,False
rico,0,outer_test,0,0,0,0,0,0,0.15347222222222223,0.15347222222222223,0.5,0.0,0.0,60,360,10,42,1355434574135982605,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False
rico,0,outer_test,0,0,0,0,0,0,0.15347222222222223,0.15347222222222223,0.5,0.0,0.0,60,360,10,43,2092513024214206554,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False
rico,0,outer_test,0,0,0,0,0,0,0.15347222222222223,0.15347222222222223,0.5,0.0,0.0,60,360,10,44,10002620603720579242,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False
rico,0,outer_test,0,0,0,0,0,0,0.15347222222222223,0.15347222222222223,0.5,0.0,0.0,60,360,10,45,10434294591232891608,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False
rico,0,outer_test,0,0,0,0,0,0,0.15347222222222223,0.15347222222222223,0.5,0.0,0.0,60,360,10,46,12810343893708733543,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False
rico,1,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,42,332568013554449025,05aa8d0a53429fc2b66a08485efb6eafa9240a4c75c43e4619cafc92f5e193a4,False
rico,1,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,43,10813279197458185346,61bf5c42fc364de25d684564e620d3b617aae35418cc051cb09d90cdec2b5f81,False
rico,1,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,44,13405532678779792723,01c710f93b95253d272f412df5145bfb1d549971f13f6dee274efbf1d7f0a831,False
rico,1,inner0_selection,3,3,3,3,0,0,5.83194444444444,5.83194444444444,0.5,0.5144081924267686,0.5144081924267686,60,360,10,45,6212305457086197387,2a7e3685e1daadf4e986c7f9791ec8bf15f58e096f833fcbe863edbd14a6037b,False
rico,1,inner0_selection,3,3,3,2,1,0,5.83194444444444,5.83194444444444,0.5,0.34293879495117907,0.5144081924267686,60,360,10,46,14791221322453078158,c3d610e7b42f8190843d6de6264465ea79cc11fd68b0ebfb9ed5fd5120aafe3a,False
rico,1,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,42,7982763237366624076,e06239873fdf7b545edf0ba0982a7ca577a1bd691060e1bfa52285b0b08afe94,False
rico,1,inner1_selection,3,3,3,3,0,0,5.985416666666662,5.985416666666662,0.5,0.5012182387748002,0.5012182387748002,60,360,10,43,4229374430416634747,c2f70bf66190f165a361c72eae897536c978abc9cfce1f18d27fb3e1dee04ead,False
