dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,role,n,groups,zero_targets,negative_targets,adjacent_equal_targets,minimum,maximum,posthoc_cleaning_or_clipping
pleia_energy,1,0,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,False,calibration,9907,1,557,0,996,0.0,326.53125,False
pleia_energy,1,0,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,False,test,9909,1,442,0,1619,0.0,246.0078125,False
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,False,calibration,4953,1,51,0,865,0.0,0.671875,False
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,False,test,9907,1,64,0,882,0.0,3.046875,False
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,False,calibration,4952,1,51,0,865,0.0,0.671875,False
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,False,test,9907,1,64,0,882,0.0,3.046875,False
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,False,calibration,4951,1,51,0,865,0.0,0.671875,False
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,False,test,9907,1,64,0,882,0.0,3.046875,False
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,False,calibration,4242,21,0,0,3594,18.9,35.6,False
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,False,test,8282,41,0,0,7173,13.7,31.0,False
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,False,calibration,3927,21,0,0,3397,18.9,35.6,False
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,False,test,7667,41,0,0,6767,13.7,31.0,False
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,False,calibration,3297,21,0,0,2927,18.9,35.6,False
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,False,test,6437,41,0,0,5825,13.7,31.0,False
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,False,calibration,17360,10,59,0,620,0.0,1461.181,False
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,False,test,34640,10,74,0,2406,0.0,1309.0,False
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,False,calibration,17350,10,61,0,622,0.0,1461.181,False
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,False,test,34640,10,74,0,2406,0.0,1309.0,False
bdg2,1,1,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,False,calibration,26002,10,74,0,2212,0.0,1309.0,False
bdg2,1,1,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,False,test,34532,10,46,0,7058,0.0,1487.017,False
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,False,calibration,4953,1,0,0,717,17.5,29.6,False
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,False,test,9907,1,0,0,1622,21.8,33.4,False
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,False,calibration,4952,1,0,0,716,17.5,29.6,False
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,False,test,9907,1,0,0,1622,21.8,33.4,False
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,False,calibration,4951,1,0,0,715,17.5,29.6,False
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,False,test,9907,1,0,0,1622,21.8,33.4,False
pleia_energy,1,2,43,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,True,calibration,4953,1,51,0,865,0.0,0.671875,False
pleia_energy,1,2,43,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,True,test,9907,1,64,0,882,0.0,3.046875,False
pleia_energy,3,2,43,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,True,calibration,4952,1,51,0,865,0.0,0.671875,False
pleia_energy,3,2,43,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,True,test,9907,1,64,0,882,0.0,3.046875,False
pleia_energy,6,2,43,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,True,calibration,4951,1,51,0,865,0.0,0.671875,False
pleia_energy,6,2,43,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,True,test,9907,1,64,0,882,0.0,3.046875,False
rico,5,2,43,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,True,calibration,4452,21,0,0,3712,18.9,35.6,False
rico,5,2,43,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,True,test,8692,41,0,0,7402,13.7,31.0,False
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,True,calibration,4242,21,0,0,3594,18.9,35.6,False
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,True,test,8282,41,0,0,7173,13.7,31.0,False
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,True,calibration,3927,21,0,0,3397,18.9,35.6,False
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,True,test,7667,41,0,0,6767,13.7,31.0,False
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,calibration,3297,21,0,0,2927,18.9,35.6,False
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,test,6437,41,0,0,5825,13.7,31.0,False
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,True,calibration,17370,10,58,0,618,0.0,1461.181,False
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,True,test,34640,10,74,0,2406,0.0,1309.0,False
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,calibration,17360,10,59,0,620,0.0,1461.181,False
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,test,34640,10,74,0,2406,0.0,1309.0,False
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,True,calibration,17350,10,61,0,622,0.0,1461.181,False
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,True,test,34640,10,74,0,2406,0.0,1309.0,False
pleia,1,2,43,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,True,calibration,4953,1,0,0,717,17.5,29.6,False
pleia,1,2,43,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,True,test,9907,1,0,0,1622,21.8,33.4,False
pleia,3,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,True,calibration,4952,1,0,0,716,17.5,29.6,False
pleia,3,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,True,test,9907,1,0,0,1622,21.8,33.4,False
pleia,6,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,True,calibration,4951,1,0,0,715,17.5,29.6,False
pleia,6,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,True,test,9907,1,0,0,1622,21.8,33.4,False
