dataset,horizon,outer_fold,model_seed,run_path,source_hash,protocol_hash,run_file_tree_hash,evaluated_commit,historical_refits
pleia,1,2,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,bc4bc18e3fb8d0e2a255fc047cd8b787b056be366948eb59e682497a5a730026,9b673b084a31e34adafb717eb3f052e52b9be994,0
pleia,3,2,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,03544843ecc271a67486a17b23fb215388c75f3a70d3064ea8146eafed7a7cee,ac49db912883387e675e321e0a23ac955a43f6b0,0
pleia,6,2,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,ca66ad4e2394336c64d4dfd4564e6c37faec462d2c5eb347b7017b3d11ba9848,ac49db912883387e675e321e0a23ac955a43f6b0,0
pleia_energy,1,2,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,fa80cf5187d33c0fe3b71d4bd5360c103c4591f5179be3411dfe0884ee61e2aa,c1a56e47254d306cf472fcdc21187aa1664664b9,0
pleia_energy,3,2,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,9fad1187c016cda3c494832d937408605eb24dff8325cf1955ad4ac58b37be63,c1a56e47254d306cf472fcdc21187aa1664664b9,0
pleia_energy,6,2,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,adcb291bee22d445ffce66cbf0e7032b22cacb03865d22c723cc2616bee27646,c1a56e47254d306cf472fcdc21187aa1664664b9,0
rico,5,2,43,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,1deda2ef4c51edfb7f888a9e8aaecd9a234fc35d0786512d2520d6f3fd487f24,c1a56e47254d306cf472fcdc21187aa1664664b9,0
rico,15,2,43,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,988666bea411f036252cd8fd29995150a6c6d536eb2fffe9d575b10acf83762b,c1a56e47254d306cf472fcdc21187aa1664664b9,0
rico,30,2,43,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,983cd3906aa3abac2b37b5531a3070c08e9ef3a39725f99a48dcc6a3696ca2e9,c1a56e47254d306cf472fcdc21187aa1664664b9,0
rico,60,2,43,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,c29378219be742ee707995cf4c3a13ed720660f849385839d295e32295818e71,c1a56e47254d306cf472fcdc21187aa1664664b9,0
bdg2,1,2,43,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,962758e3c7ca154fee2be46e100f4837532a2395647f913e25a387b8ef442d4f,c1a56e47254d306cf472fcdc21187aa1664664b9,0
bdg2,3,2,43,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,4012b33cf56594ad21f3c602da33737addbd6d0615c91373107a20bb29e31f39,c1a56e47254d306cf472fcdc21187aa1664664b9,0
bdg2,6,2,43,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,d999170d031430f5854d386a8f9233ff87ab5f9c3f0ee4a630e46d757c778088,c1a56e47254d306cf472fcdc21187aa1664664b9,0
pleia,1,2,43,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,1da0da4d1babd4f41f4af5a93865d8e9d7ffb95030d1eb7b2a65a1efef512a34,c1a56e47254d306cf472fcdc21187aa1664664b9,0
pleia,3,2,43,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,d590c1cb9e8ef820639d19ab37a8696cb3844c6e7ad195c1ac6e50815907a294,c1a56e47254d306cf472fcdc21187aa1664664b9,0
pleia,6,2,43,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,0f4baec1a95300024e3922af5322b1f10a2c09101a6ca69ad824b8d3d1fa44c2,c1a56e47254d306cf472fcdc21187aa1664664b9,0
