priority,dataset,horizon,outer_fold,model_seed,models,argv,output,command_exists,prerequisite,learned_fit_invocations,scenario_low_model_seconds,scenario_high_model_seconds,estimate_basis,fit_n,original_priority,updated_low_model_seconds,updated_high_model_seconds
11,pleia_energy,1,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.93856703201996,513.0129899572612,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14858,12,55.938567032019954,639.7404026008686
12,pleia_energy,3,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.9272723960598,512.9094067717805,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14855,13,55.9272723960598,639.6112317025106
13,pleia_energy,6,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.90844800279286,512.7367681293127,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14850,14,55.908448002792866,639.395946871914
14,pleia_energy,1,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.91538030533671,769.5885403928788,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22289,15,83.91538030533671,959.6967178335415
15,pleia_energy,3,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.90032079072316,769.4504294789047,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22285,16,83.90032079072317,959.5244899690642
16,pleia_energy,6,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.88149639745623,769.2777908364369,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22280,17,83.88149639745623,959.3092051384676
17,pleia_energy,1,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,111.88842870000008,1026.129563100003,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",29719,18,111.88842870000008,1279.609976100095
18,pleia_energy,3,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,111.87336918538652,1025.9914521860287,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",29715,19,111.87336918538654,1279.4377482356176
19,pleia_energy,6,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f0_s43_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,111.8545447921196,1025.818813543561,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",29710,20,111.8545447921196,1279.2224634050212
20,pleia_energy,1,2,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.93856703201996,513.0129899572612,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14858,21,55.938567032019954,639.7404026008686
21,pleia_energy,3,2,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.9272723960598,512.9094067717805,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14855,22,55.9272723960598,639.6112317025106
22,pleia_energy,6,2,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.90844800279286,512.7367681293127,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14850,23,55.908448002792866,639.395946871914
23,pleia_energy,1,1,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.91538030533671,769.5885403928788,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22289,24,83.91538030533671,959.6967178335415
24,pleia_energy,3,1,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.90032079072316,769.4504294789047,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22285,25,83.90032079072317,959.5244899690642
25,pleia_energy,6,1,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.88149639745623,769.2777908364369,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22280,26,83.88149639745623,959.3092051384676
26,pleia_energy,1,0,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f0_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,111.88842870000008,1026.129563100003,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",29719,27,111.88842870000008,1279.609976100095
27,pleia_energy,3,0,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,111.87336918538652,1025.9914521860287,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",29715,28,111.87336918538654,1279.4377482356176
28,pleia_energy,6,0,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""0"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f0_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f0_s44_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,111.8545447921196,1025.818813543561,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",29710,29,111.8545447921196,1279.2224634050212
29,pleia_energy,1,2,45,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""45"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s45_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s45_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.93856703201996,513.0129899572612,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14858,30,55.938567032019954,639.7404026008686
30,pleia_energy,3,2,45,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""45"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s45_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s45_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.9272723960598,512.9094067717805,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14855,31,55.9272723960598,639.6112317025106
31,pleia_energy,6,2,45,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""45"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s45_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s45_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,55.90844800279286,512.7367681293127,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",14850,32,55.908448002792866,639.395946871914
32,pleia_energy,1,1,45,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""45"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s45_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s45_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.91538030533671,769.5885403928788,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22289,33,83.91538030533671,959.6967178335415
33,pleia_energy,3,1,45,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""45"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s45_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s45_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.90032079072316,769.4504294789047,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22285,34,83.90032079072317,959.5244899690642
34,pleia_energy,6,1,45,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""45"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s45_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s45_v1,True,"new scoped authorization, dataset-unit freeze and readiness; generalized runner exists; no further run authorized now",10,83.88149639745623,769.2777908364369,"four measured matched units (3 temperature horizons + energy h1), min/max model-phase sum x fit-row ratio x [0.5,3]; excludes prep/I/O/audit",22280,35,83.88149639745623,959.3092051384676
