dataset,horizon,role,group_id,n,origin_min,origin_max,target_min,target_max,raw_rows,start,end,season_steps,phase,scheduler_step,target_id,legacy_fold0_roles,proposal_fold0_roles,legacy_fold1_roles,proposal_fold1_roles,legacy_fold2_roles,proposal_fold2_roles
rico,5,fit,P1S20,212,2023-07-29 19:24:00,2023-07-29 22:55:00,2023-07-29 19:29:00,2023-07-29 23:00:00,240.0,2023-07-29 19:01:00,2023-07-29 23:00:00,,1.0,20.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S21,212,2023-07-29 23:24:00,2023-07-30 02:55:00,2023-07-29 23:29:00,2023-07-30 03:00:00,240.0,2023-07-29 23:01:00,2023-07-30 03:00:00,,1.0,21.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S22,212,2023-07-30 03:24:00,2023-07-30 06:55:00,2023-07-30 03:29:00,2023-07-30 07:00:00,240.0,2023-07-30 03:01:00,2023-07-30 07:00:00,,1.0,22.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S23,212,2023-07-30 07:24:00,2023-07-30 10:55:00,2023-07-30 07:29:00,2023-07-30 11:00:00,240.0,2023-07-30 07:01:00,2023-07-30 11:00:00,,1.0,23.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S26,212,2023-07-30 19:24:00,2023-07-30 22:55:00,2023-07-30 19:29:00,2023-07-30 23:00:00,240.0,2023-07-30 19:01:00,2023-07-30 23:00:00,,1.0,26.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S27,212,2023-07-30 23:24:00,2023-07-31 02:55:00,2023-07-30 23:29:00,2023-07-31 03:00:00,240.0,2023-07-30 23:01:00,2023-07-31 03:00:00,,1.0,27.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S28,212,2023-07-31 03:24:00,2023-07-31 06:55:00,2023-07-31 03:29:00,2023-07-31 07:00:00,240.0,2023-07-31 03:01:00,2023-07-31 07:00:00,,1.0,28.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S29,212,2023-07-31 07:24:00,2023-07-31 10:55:00,2023-07-31 07:29:00,2023-07-31 11:00:00,240.0,2023-07-31 07:01:00,2023-07-31 11:00:00,,1.0,29.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S31,212,2023-07-31 15:24:00,2023-07-31 18:55:00,2023-07-31 15:29:00,2023-07-31 19:00:00,240.0,2023-07-31 15:01:00,2023-07-31 19:00:00,,1.0,31.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S32,212,2023-07-31 19:24:00,2023-07-31 22:55:00,2023-07-31 19:29:00,2023-07-31 23:00:00,240.0,2023-07-31 19:01:00,2023-07-31 23:00:00,,1.0,32.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S33,212,2023-07-31 23:24:00,2023-08-01 02:55:00,2023-07-31 23:29:00,2023-08-01 03:00:00,240.0,2023-07-31 23:01:00,2023-08-01 03:00:00,,1.0,33.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S34,212,2023-08-01 03:24:00,2023-08-01 06:55:00,2023-08-01 03:29:00,2023-08-01 07:00:00,240.0,2023-08-01 03:01:00,2023-08-01 07:00:00,,1.0,34.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S37,212,2023-08-01 15:24:00,2023-08-01 18:55:00,2023-08-01 15:29:00,2023-08-01 19:00:00,240.0,2023-08-01 15:01:00,2023-08-01 19:00:00,,1.0,37.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S38,212,2023-08-01 19:24:00,2023-08-01 22:55:00,2023-08-01 19:29:00,2023-08-01 23:00:00,240.0,2023-08-01 19:01:00,2023-08-01 23:00:00,,1.0,38.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S39,212,2023-08-01 23:24:00,2023-08-02 02:55:00,2023-08-01 23:29:00,2023-08-02 03:00:00,240.0,2023-08-01 23:01:00,2023-08-02 03:00:00,,1.0,39.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,5,fit,P1S4,212,2023-07-27 03:24:00,2023-07-27 06:55:00,2023-07-27 03:29:00,2023-07-27 07:00:00,240.0,2023-07-27 03:01:00,2023-07-27 07:00:00,,1.0,4.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S40,212,2023-08-02 03:24:00,2023-08-02 06:55:00,2023-08-02 03:29:00,2023-08-02 07:00:00,240.0,2023-08-02 03:01:00,2023-08-02 07:00:00,,1.0,40.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S41,212,2023-08-02 07:24:00,2023-08-02 10:55:00,2023-08-02 07:29:00,2023-08-02 11:00:00,240.0,2023-08-02 07:01:00,2023-08-02 11:00:00,,1.0,41.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S42,212,2023-08-02 11:24:00,2023-08-02 14:55:00,2023-08-02 11:29:00,2023-08-02 15:00:00,240.0,2023-08-02 11:01:00,2023-08-02 15:00:00,,1.0,42.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S43,212,2023-08-02 15:24:00,2023-08-02 18:55:00,2023-08-02 15:29:00,2023-08-02 19:00:00,240.0,2023-08-02 15:01:00,2023-08-02 19:00:00,,1.0,43.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S44,212,2023-08-02 19:24:00,2023-08-02 22:55:00,2023-08-02 19:29:00,2023-08-02 23:00:00,240.0,2023-08-02 19:01:00,2023-08-02 23:00:00,,1.0,44.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S45,212,2023-08-02 23:24:00,2023-08-03 02:55:00,2023-08-02 23:29:00,2023-08-03 03:00:00,240.0,2023-08-02 23:01:00,2023-08-03 03:00:00,,1.0,45.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S46,212,2023-08-03 03:24:00,2023-08-03 06:55:00,2023-08-03 03:29:00,2023-08-03 07:00:00,240.0,2023-08-03 03:01:00,2023-08-03 07:00:00,,1.0,46.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S47,212,2023-08-03 07:24:00,2023-08-03 10:55:00,2023-08-03 07:29:00,2023-08-03 11:00:00,240.0,2023-08-03 07:01:00,2023-08-03 11:00:00,,1.0,47.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S49,212,2023-08-03 15:24:00,2023-08-03 18:55:00,2023-08-03 15:29:00,2023-08-03 19:00:00,240.0,2023-08-03 15:01:00,2023-08-03 19:00:00,,1.0,49.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S5,212,2023-07-27 07:24:00,2023-07-27 10:55:00,2023-07-27 07:29:00,2023-07-27 11:00:00,240.0,2023-07-27 07:01:00,2023-07-27 11:00:00,,1.0,5.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S50,212,2023-08-03 19:24:00,2023-08-03 22:55:00,2023-08-03 19:29:00,2023-08-03 23:00:00,240.0,2023-08-03 19:01:00,2023-08-03 23:00:00,,1.0,50.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S51,212,2023-08-03 23:24:00,2023-08-04 02:55:00,2023-08-03 23:29:00,2023-08-04 03:00:00,240.0,2023-08-03 23:01:00,2023-08-04 03:00:00,,1.0,51.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S52,212,2023-08-04 03:24:00,2023-08-04 06:55:00,2023-08-04 03:29:00,2023-08-04 07:00:00,240.0,2023-08-04 03:01:00,2023-08-04 07:00:00,,1.0,52.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S53,212,2023-08-04 07:24:00,2023-08-04 10:55:00,2023-08-04 07:29:00,2023-08-04 11:00:00,240.0,2023-08-04 07:01:00,2023-08-04 11:00:00,,1.0,53.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S55,212,2023-08-04 15:24:00,2023-08-04 18:55:00,2023-08-04 15:29:00,2023-08-04 19:00:00,240.0,2023-08-04 15:01:00,2023-08-04 19:00:00,,1.0,55.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S56,212,2023-08-04 19:24:00,2023-08-04 22:55:00,2023-08-04 19:29:00,2023-08-04 23:00:00,240.0,2023-08-04 19:01:00,2023-08-04 23:00:00,,1.0,56.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,5,fit,P1S57,212,2023-08-04 23:24:00,2023-08-05 02:55:00,2023-08-04 23:29:00,2023-08-05 03:00:00,240.0,2023-08-04 23:01:00,2023-08-05 03:00:00,,1.0,57.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S58,212,2023-08-05 03:24:00,2023-08-05 06:55:00,2023-08-05 03:29:00,2023-08-05 07:00:00,240.0,2023-08-05 03:01:00,2023-08-05 07:00:00,,1.0,58.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S59,212,2023-08-05 07:24:00,2023-08-05 10:55:00,2023-08-05 07:29:00,2023-08-05 11:00:00,240.0,2023-08-05 07:01:00,2023-08-05 11:00:00,,1.0,59.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S60,212,2023-08-05 11:24:00,2023-08-05 14:55:00,2023-08-05 11:29:00,2023-08-05 15:00:00,240.0,2023-08-05 11:01:00,2023-08-05 15:00:00,,1.0,60.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S61,212,2023-08-05 15:24:00,2023-08-05 18:55:00,2023-08-05 15:29:00,2023-08-05 19:00:00,240.0,2023-08-05 15:01:00,2023-08-05 19:00:00,,1.0,61.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S62,212,2023-08-05 19:24:00,2023-08-05 22:55:00,2023-08-05 19:29:00,2023-08-05 23:00:00,240.0,2023-08-05 19:01:00,2023-08-05 23:00:00,,1.0,62.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S63,212,2023-08-05 23:24:00,2023-08-06 02:55:00,2023-08-05 23:29:00,2023-08-06 03:00:00,240.0,2023-08-05 23:01:00,2023-08-06 03:00:00,,1.0,63.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S64,212,2023-08-06 03:24:00,2023-08-06 06:55:00,2023-08-06 03:29:00,2023-08-06 07:00:00,240.0,2023-08-06 03:01:00,2023-08-06 07:00:00,,1.0,64.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S65,212,2023-08-06 07:24:00,2023-08-06 10:55:00,2023-08-06 07:29:00,2023-08-06 11:00:00,240.0,2023-08-06 07:01:00,2023-08-06 11:00:00,,1.0,65.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S67,212,2023-08-06 15:24:00,2023-08-06 18:55:00,2023-08-06 15:29:00,2023-08-06 19:00:00,240.0,2023-08-06 15:01:00,2023-08-06 19:00:00,,1.0,67.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S68,212,2023-08-06 19:24:00,2023-08-06 22:55:00,2023-08-06 19:29:00,2023-08-06 23:00:00,240.0,2023-08-06 19:01:00,2023-08-06 23:00:00,,1.0,68.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S69,212,2023-08-06 23:24:00,2023-08-07 02:55:00,2023-08-06 23:29:00,2023-08-07 03:00:00,240.0,2023-08-06 23:01:00,2023-08-07 03:00:00,,1.0,69.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S7,212,2023-07-27 15:24:00,2023-07-27 18:55:00,2023-07-27 15:29:00,2023-07-27 19:00:00,240.0,2023-07-27 15:01:00,2023-07-27 19:00:00,,1.0,7.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,5,fit,P1S70,212,2023-08-07 03:24:00,2023-08-07 06:55:00,2023-08-07 03:29:00,2023-08-07 07:00:00,240.0,2023-08-07 03:01:00,2023-08-07 07:00:00,,1.0,70.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,5,fit,P1S72,212,2023-08-07 11:24:00,2023-08-07 14:55:00,2023-08-07 11:29:00,2023-08-07 15:00:00,240.0,2023-08-07 11:01:00,2023-08-07 15:00:00,,1.0,72.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
