dataset,group_id,raw_rows,start,end,season_steps,phase,scheduler_step,target_id,legacy_fold0_roles,proposal_fold0_roles,legacy_fold1_roles,proposal_fold1_roles,legacy_fold2_roles,proposal_fold2_roles
rico,P1S13,240,2023-07-28 15:01:00,2023-07-28 19:00:00,,1.0,13.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S14,240,2023-07-28 19:01:00,2023-07-28 23:00:00,,1.0,14.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S15,240,2023-07-28 23:01:00,2023-07-29 03:00:00,,1.0,15.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S16,240,2023-07-29 03:01:00,2023-07-29 07:00:00,,1.0,16.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S17,240,2023-07-29 07:01:00,2023-07-29 11:00:00,,1.0,17.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train
rico,P1S20,240,2023-07-29 19:01:00,2023-07-29 23:00:00,,1.0,20.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S21,240,2023-07-29 23:01:00,2023-07-30 03:00:00,,1.0,21.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S22,240,2023-07-30 03:01:00,2023-07-30 07:00:00,,1.0,22.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S23,240,2023-07-30 07:01:00,2023-07-30 11:00:00,,1.0,23.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S26,240,2023-07-30 19:01:00,2023-07-30 23:00:00,,1.0,26.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S27,240,2023-07-30 23:01:00,2023-07-31 03:00:00,,1.0,27.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S28,240,2023-07-31 03:01:00,2023-07-31 07:00:00,,1.0,28.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S29,240,2023-07-31 07:01:00,2023-07-31 11:00:00,,1.0,29.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S31,240,2023-07-31 15:01:00,2023-07-31 19:00:00,,1.0,31.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S32,240,2023-07-31 19:01:00,2023-07-31 23:00:00,,1.0,32.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S33,240,2023-07-31 23:01:00,2023-08-01 03:00:00,,1.0,33.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S34,240,2023-08-01 03:01:00,2023-08-01 07:00:00,,1.0,34.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S37,240,2023-08-01 15:01:00,2023-08-01 19:00:00,,1.0,37.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S38,240,2023-08-01 19:01:00,2023-08-01 23:00:00,,1.0,38.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S39,240,2023-08-01 23:01:00,2023-08-02 03:00:00,,1.0,39.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train
rico,P1S40,240,2023-08-02 03:01:00,2023-08-02 07:00:00,,1.0,40.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S41,240,2023-08-02 07:01:00,2023-08-02 11:00:00,,1.0,41.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S42,240,2023-08-02 11:01:00,2023-08-02 15:00:00,,1.0,42.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S43,240,2023-08-02 15:01:00,2023-08-02 19:00:00,,1.0,43.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S44,240,2023-08-02 19:01:00,2023-08-02 23:00:00,,1.0,44.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S45,240,2023-08-02 23:01:00,2023-08-03 03:00:00,,1.0,45.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S46,240,2023-08-03 03:01:00,2023-08-03 07:00:00,,1.0,46.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S47,240,2023-08-03 07:01:00,2023-08-03 11:00:00,,1.0,47.0,B.RTD3,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B0|final_fit|inner0_train|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S49,240,2023-08-03 15:01:00,2023-08-03 19:00:00,,1.0,49.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S50,240,2023-08-03 19:01:00,2023-08-03 23:00:00,,1.0,50.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S51,240,2023-08-03 23:01:00,2023-08-04 03:00:00,,1.0,51.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S52,240,2023-08-04 03:01:00,2023-08-04 07:00:00,,1.0,52.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S53,240,2023-08-04 07:01:00,2023-08-04 11:00:00,,1.0,53.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S55,240,2023-08-04 15:01:00,2023-08-04 19:00:00,,1.0,55.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S56,240,2023-08-04 19:01:00,2023-08-04 23:00:00,,1.0,56.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration
rico,P1S57,240,2023-08-04 23:01:00,2023-08-05 03:00:00,,1.0,57.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S58,240,2023-08-05 03:01:00,2023-08-05 07:00:00,,1.0,58.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S59,240,2023-08-05 07:01:00,2023-08-05 11:00:00,,1.0,59.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S60,240,2023-08-05 11:01:00,2023-08-05 15:00:00,,1.0,60.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S61,240,2023-08-05 15:01:00,2023-08-05 19:00:00,,1.0,61.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S62,240,2023-08-05 19:01:00,2023-08-05 23:00:00,,1.0,62.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S63,240,2023-08-05 23:01:00,2023-08-06 03:00:00,,1.0,63.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S64,240,2023-08-06 03:01:00,2023-08-06 07:00:00,,1.0,64.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S65,240,2023-08-06 07:01:00,2023-08-06 11:00:00,,1.0,65.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S67,240,2023-08-06 15:01:00,2023-08-06 19:00:00,,1.0,67.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S68,240,2023-08-06 19:01:00,2023-08-06 23:00:00,,1.0,68.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S69,240,2023-08-06 23:01:00,2023-08-07 03:00:00,,1.0,69.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S70,240,2023-08-07 03:01:00,2023-08-07 07:00:00,,1.0,70.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S72,240,2023-08-07 11:01:00,2023-08-07 15:00:00,,1.0,72.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S73,240,2023-08-07 15:01:00,2023-08-07 19:00:00,,1.0,73.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S74,240,2023-08-07 19:01:00,2023-08-07 23:00:00,,1.0,74.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection
rico,P1S75,240,2023-08-07 23:01:00,2023-08-08 03:00:00,,1.0,75.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S76,240,2023-08-08 03:01:00,2023-08-08 07:00:00,,1.0,76.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S77,240,2023-08-08 07:01:00,2023-08-08 11:00:00,,1.0,77.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S78,240,2023-08-08 11:01:00,2023-08-08 15:00:00,,1.0,78.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S79,240,2023-08-08 15:01:00,2023-08-08 19:00:00,,1.0,79.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S80,240,2023-08-08 19:01:00,2023-08-08 23:00:00,,1.0,80.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S81,240,2023-08-08 23:01:00,2023-08-09 03:00:00,,1.0,81.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S82,240,2023-08-09 03:01:00,2023-08-09 07:00:00,,1.0,82.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S83,240,2023-08-09 07:01:00,2023-08-09 11:00:00,,1.0,83.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S85,240,2023-08-09 15:01:00,2023-08-09 19:00:00,,1.0,85.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S86,240,2023-08-09 19:01:00,2023-08-09 23:00:00,,1.0,86.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S87,240,2023-08-09 23:01:00,2023-08-10 03:00:00,,1.0,87.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S89,240,2023-08-10 07:01:00,2023-08-10 11:00:00,,1.0,89.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S91,240,2023-08-10 15:01:00,2023-08-10 19:00:00,,1.0,91.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S92,240,2023-08-10 19:01:00,2023-08-10 23:00:00,,1.0,92.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B1|final_fit|inner0_calibration|inner1_train,B3|final_fit|inner1_selection,B1|final_fit|inner0_calibration|inner1_train,final_calibration
rico,P1S93,240,2023-08-10 23:01:00,2023-08-11 03:00:00,,1.0,93.0,B.RTD3,B1|final_fit|inner0_calibration|inner1_train,B2|final_fit|inner0_selection|inner1_calibration,B2|final_fit|inner0_selection|inner1_calibration,B3|final_fit|inner1_selection,B2|final_fit|inner0_selection|inner1_calibration,final_calibration
rico,P1S94,240,2023-08-11 03:01:00,2023-08-11 07:00:00,,1.0,94.0,B.RTD3,B2|final_fit|inner0_selection|inner1_calibration,B2|final_fit|inner0_selection|inner1_calibration,B2|final_fit|inner0_selection|inner1_calibration,B3|final_fit|inner1_selection,B2|final_fit|inner0_selection|inner1_calibration,final_calibration
rico,P1S95,240,2023-08-11 07:01:00,2023-08-11 11:00:00,,1.0,95.0,B.RTD3,B2|final_fit|inner0_selection|inner1_calibration,B2|final_fit|inner0_selection|inner1_calibration,B2|final_fit|inner0_selection|inner1_calibration,B3|final_fit|inner1_selection,B2|final_fit|inner0_selection|inner1_calibration,final_calibration
