outer_fold,role,path,preflight_file_sha256,requested,attempted,placed,effective,null,rejected,asset_days,hostable_asset_days,requested_incidence,realised_incidence,requested_schedule_incidence,duration_steps,guard_steps,tolerance_steps,catalogue_seed,namespace_seed,catalogue_hash,zero_control
1,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner1_selection_e43_catalogue.csv.gz,9a4f0b2f28cd3a898a141a733a777e081e13eb69a261dfa0e33187733b0ea60d,407,407,407,381,26,0,814.3333333333334,814.3333333333334,0.5,0.4678673761768317,0.49979533360622186,4,6,3,43,16813394329833188685,5cddbbe8bf59720e346374e8431101961d4cf3ae20e47726c83ead16e8e28924,False
1,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner1_selection_e44_catalogue.csv.gz,f0c26cf062965444d3e8752b0e8f121a685a51e37345f8e00624b79648379f2a,407,407,407,386,21,0,814.3333333333334,814.3333333333334,0.5,0.474007367990176,0.49979533360622186,4,6,3,44,9192091195909033528,82c14271e33facdbbdd785fe757908ccd28425de0e35def8d25a5fab0cfcb990,False
1,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner1_selection_e45_catalogue.csv.gz,50f119855b2dcdaf82172106b1a808256ba5c5a75539843abf0c0f6417bf5f53,407,407,407,386,21,0,814.3333333333334,814.3333333333334,0.5,0.474007367990176,0.49979533360622186,4,6,3,45,9151139947530985235,9ea08d872e8b6413ec1604cff7b4f842f0da767026ceececf90486b5da2072ec,False
1,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f1_inner1_selection_e46_catalogue.csv.gz,8b40fbc10564f73d3d7a884d1627ac4fffa00685540a531ccec5c54dfee67081,407,407,407,388,19,0,814.3333333333334,814.3333333333334,0.5,0.4764633647155137,0.49979533360622186,4,6,3,46,15543083021502588168,8e28fe51aa8f73a7a376244f1ec75ba4ced8723306b9983b4681b70a2ea52c04,False
1,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f1_outer_test_e42_catalogue.csv.gz,b9c95d0c30dccd80620fbc1deded24acc236f12047eda734b35143072f97d1ea,722,722,722,661,61,0,1443.5416666666667,1443.5416666666667,0.5,0.4579015730985712,0.5001587530668206,4,6,3,42,4674103583090765946,8f1a03377b48b01eca768faed46377274bb7d76351abb46163130e857f8fc402,False
1,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f1_outer_test_e43_catalogue.csv.gz,33795da7d60143c75e544a3970ae12226f90f3174cf4c6d83c3d5d7bbb4613de,722,722,722,658,64,0,1443.5416666666667,1443.5416666666667,0.5,0.4558233511329196,0.5001587530668206,4,6,3,43,10656118874695765823,d20b3364dd7c11ab71b97395985563c2f7a064944a110b97ad10ff1d17eb1b1d,False
1,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f1_outer_test_e44_catalogue.csv.gz,c89e8b2b4157d7d291402022be87a61a303d3eed5820713eed1ac5f01b6eb6d4,722,722,722,661,61,0,1443.5416666666667,1443.5416666666667,0.5,0.4579015730985712,0.5001587530668206,4,6,3,44,10353020573451696943,fd1cfaf8d8260cb16c1a94d5409c47e0bd7ddc07d2a0e6ceeba798124593ad55,False
1,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f1_outer_test_e45_catalogue.csv.gz,2653e2ab48dff6cd94ee083134ef452dc7f35ceb5002d50ad77f3b18bc4bffc7,722,722,722,660,62,0,1443.5416666666667,1443.5416666666667,0.5,0.457208832443354,0.5001587530668206,4,6,3,45,18104688777661759497,b3dac4989d055aadb3e1f44258243145a1dae3c15a87fcfb1800bf45d975febb,False
1,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f1_outer_test_e46_catalogue.csv.gz,53a4a32e5ec462de371434ef6999d83aa4970b37082baab072d58de102383b70,722,722,722,660,62,0,1443.5416666666667,1443.5416666666667,0.5,0.457208832443354,0.5001587530668206,4,6,3,46,7507547548941512226,56a42b6d85fd887e79c34d287ceb11677628da421d1959f2ea61a2d82c8cd83e,False
0,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner0_selection_e42_catalogue.csv.gz,f3eecbad1255f2f344c2a1541846b7b075d49e1582d22da166855f81b072a210,543,543,543,506,37,0,1085.1666666666665,1085.1666666666665,0.5,0.4662878206112733,0.5003839655966826,4,6,3,42,17342860815951461900,9c622b975829b0b94ec25fdc8151386772bd81d23d1596e5a57c05df26a1baf3,False
0,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner0_selection_e43_catalogue.csv.gz,c14fffc10d690679bcc0f2bcac64018d9de3defd92dc4545584983fb539e4240,543,543,543,508,35,0,1085.1666666666665,1085.1666666666665,0.5,0.4681308554753495,0.5003839655966826,4,6,3,43,12201933442716805719,dee8b916b586c9086f5145b4a55af5b2921012e6db48a8a1e34188fc408172c7,False
0,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner0_selection_e44_catalogue.csv.gz,ee47dc10471aaa99df7644e7811f41a537b8ffa826888f14d13abd6a1998fa36,543,543,543,513,30,0,1085.1666666666665,1085.1666666666665,0.5,0.47273844263553993,0.5003839655966826,4,6,3,44,15156059582622853933,2bc944dc4d5c18366e01c692a15c99321f855dee59932b5f4fc3058c72929de9,False
0,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner0_selection_e45_catalogue.csv.gz,3d18b24bb4ab95bc302997b69a83643c0f7bf039d088e565f656092932097dfa,543,543,543,512,31,0,1085.1666666666665,1085.1666666666665,0.5,0.4718169252035018,0.5003839655966826,4,6,3,45,2550173562212547540,fc9e7be1a797a30e2c7e0618215ec0909d3f45f88dcb572bdc7d9832d5ce172a,False
0,inner0_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner0_selection_e46_catalogue.csv.gz,9a79c8fa183103431faeb0e3d5d7760798cd2fee6b7b2ea1a4158666c68b1af9,543,543,543,508,35,0,1085.1666666666665,1085.1666666666665,0.5,0.4681308554753495,0.5003839655966826,4,6,3,46,16418746784561102870,d8f002104c4fd5e9a710fa84058730613729b34c2144a3ebd34ef297401f3939,False
0,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner1_selection_e42_catalogue.csv.gz,8b7c9d5c54fd4b2cc78663bf3cb1d66b44f2a770944f2470ea7d8522249bc9a8,543,543,543,510,33,0,1085.3333333333335,1085.3333333333335,0.5,0.46990171990171986,0.5003071253071253,4,6,3,42,18048782141241671885,83af107fa8529c32e253f72883cf4f55579874788cf78a42e1e7efdbae6ec7d5,False
0,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner1_selection_e43_catalogue.csv.gz,fdfb407675809f2a606978f543dab639a3ccfe63f3ef15f385c285a9ae18e00b,543,543,543,512,31,0,1085.3333333333335,1085.3333333333335,0.5,0.4717444717444717,0.5003071253071253,4,6,3,43,12588978936486030128,0fa8463789821bcc8930b98d1e16af0c06d9ba1505f51ab286b944c97b86be26,False
0,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner1_selection_e44_catalogue.csv.gz,34475a7422109f7f8c7cdc8d5f3fbbc52fc420bf8f7b75a9ee6d338054694991,543,543,543,508,35,0,1085.3333333333335,1085.3333333333335,0.5,0.468058968058968,0.5003071253071253,4,6,3,44,10711433348539977874,5eb741bde3d6f6a50a96096a0935bb6cb3a97af09b5b8c63505741497fa19083,False
0,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner1_selection_e45_catalogue.csv.gz,da8d94d494e49a361aaf8afd2dd89ad6390acea362f185055a03e7bd3f758f4b,543,543,543,504,39,0,1085.3333333333335,1085.3333333333335,0.5,0.46437346437346433,0.5003071253071253,4,6,3,45,10799717442406969402,c9afb16682fadbc0c53a61642c50cc62c335af03eb3d4e016c21039f534a7637,False
0,inner1_selection,outputs/amendment004/preflight_20260913_v1/bdg2_f0_inner1_selection_e46_catalogue.csv.gz,f5c98d655b064a8204453381d78da06d2e0193214f041559d25ad3c258857b6b,543,543,543,514,29,0,1085.3333333333335,1085.3333333333335,0.5,0.4735872235872235,0.5003071253071253,4,6,3,46,13476009284931683907,6aa6418b5cb6037dc7278c48bbfa4f3b92316bd1da1e7e93478ebfb6e99be9e4,False
0,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f0_outer_test_e42_catalogue.csv.gz,dec6f58a4d5749d5e5f586f5c73fc3aae0d9d1964d4f638a581b34b1fd8caf23,719,719,719,644,75,0,1438.3333333333333,1438.3333333333333,0.5,0.4477404403244496,0.4998841251448436,4,6,3,42,7034390940181670008,d69ec71fb69dacab1a6564cb7bf02b0a6ee2d90024b82178030661b9ecc84778,False
0,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f0_outer_test_e43_catalogue.csv.gz,3440977ae33ea0c3e50e46e7dcee0a1610944c06a27961276cbb7be8d1d50438,719,719,719,648,71,0,1438.3333333333333,1438.3333333333333,0.5,0.45052143684820395,0.4998841251448436,4,6,3,43,3668199042714609130,aee0fd20ae2a29450ff00c1fded546c47381ec3c145f07b7e29734f0f531fb95,False
0,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f0_outer_test_e44_catalogue.csv.gz,721eccd0317adfceefefd9ff2d5f1fa59807505417639bde7ad3ff2a12ba0815,719,719,719,656,63,0,1438.3333333333333,1438.3333333333333,0.5,0.45608342989571266,0.4998841251448436,4,6,3,44,1794219639527858499,f1c8914cc41e9e822f87216398b9bbdf22f6ae6c04c599ba1b4ed0fac8a09c44,False
0,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f0_outer_test_e45_catalogue.csv.gz,94fb91de25a5cf26c36b548635babbfa386b1454bbfa17174baa4b0e69cde164,719,719,719,656,63,0,1438.3333333333333,1438.3333333333333,0.5,0.45608342989571266,0.4998841251448436,4,6,3,45,15603453260388262279,3beb77902945376f7eb80b2667a0718a0859411f110922819268fc6e0f026a3a,False
0,outer_test,outputs/amendment004/preflight_20260913_v1/bdg2_f0_outer_test_e46_catalogue.csv.gz,a854755d180977bfbe15f15e1d4c1e39ff60fdfd33173792af47730a98fafb98,719,719,719,644,75,0,1438.3333333333333,1438.3333333333333,0.5,0.4477404403244496,0.4998841251448436,4,6,3,46,2361417962015938397,fb7abc38a4494fecd53234c6be5c7e474d6598ca8749a9b6fc4e0000f6a4a8fa,False
