outer_fold,role,n,groups,asset_days,origin_min,origin_max,target_min,target_max,membership_hash
2,inner1_selection,13030,10,542.9166666666666,2016-06-18 18:00:00,2016-08-12 00:00:00,2016-06-18 19:00:00,2016-08-12 01:00:00,95d894618d8d4cb034698f8ae030d7ad3fdb70f5fccd6bdbd30c15fba8b7edb9
1,B0,19493,10,812.2083333333334,2016-01-07 23:00:00,2016-03-29 07:00:00,2016-01-08 00:00:00,2016-03-29 08:00:00,6b39a734a6d30dacae7d4ba38ae1ae66af959b9901a9bad286996af3578b7535
1,B1,19522,10,813.4166666666666,2016-03-29 09:00:00,2016-06-18 17:00:00,2016-03-29 10:00:00,2016-06-18 18:00:00,5dcea04d04d62538fa411b78a46d8f2be78d345331f5abbffa485d6ec81b9a6a
1,B2,19530,10,813.75,2016-06-18 19:00:00,2016-09-08 03:00:00,2016-06-18 20:00:00,2016-09-08 04:00:00,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
1,B3,19544,10,814.3333333333334,2016-09-08 05:00:00,2016-11-28 15:00:00,2016-09-08 06:00:00,2016-11-28 16:00:00,00f3fea8b698522edbba92983340452c7da0081a8f1c1b5c5aeea6863252a9e6
1,final_fit,78089,10,3253.7083333333335,2016-01-07 23:00:00,2016-11-28 15:00:00,2016-01-08 00:00:00,2016-11-28 16:00:00,97951bc6a8e667911244bfdb862c3405e999cf6cf04aa0051ea7a5a04155711d
1,final_calibration,26048,10,1085.3333333333333,2016-11-28 17:00:00,2017-03-17 06:00:00,2016-11-28 18:00:00,2017-03-17 07:00:00,f31a05cf1008911348d751cdf22f70490ad963ad7d181d172fbd8792a73f1807
1,outer_test,34645,10,1443.5416666666667,2017-03-17 08:00:00,2017-08-09 02:00:00,2017-03-17 09:00:00,2017-08-09 03:00:00,8fd8f4dec671c62c09faf21a1cb16cb011669515a949902959c08927d839ce8b
1,inner0_train,19493,10,812.2083333333334,2016-01-07 23:00:00,2016-03-29 07:00:00,2016-01-08 00:00:00,2016-03-29 08:00:00,6b39a734a6d30dacae7d4ba38ae1ae66af959b9901a9bad286996af3578b7535
1,inner0_calibration,19522,10,813.4166666666666,2016-03-29 09:00:00,2016-06-18 17:00:00,2016-03-29 10:00:00,2016-06-18 18:00:00,5dcea04d04d62538fa411b78a46d8f2be78d345331f5abbffa485d6ec81b9a6a
1,inner0_selection,19530,10,813.75,2016-06-18 19:00:00,2016-09-08 03:00:00,2016-06-18 20:00:00,2016-09-08 04:00:00,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
1,inner1_train,39015,10,1625.625,2016-01-07 23:00:00,2016-06-18 17:00:00,2016-01-08 00:00:00,2016-06-18 18:00:00,d0d9278e975a8a10b072ca63e6244fb0ee4e726b24b38a80900fbd78c7f98435
1,inner1_calibration,19530,10,813.75,2016-06-18 19:00:00,2016-09-08 03:00:00,2016-06-18 20:00:00,2016-09-08 04:00:00,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
1,inner1_selection,19544,10,814.3333333333334,2016-09-08 05:00:00,2016-11-28 15:00:00,2016-09-08 06:00:00,2016-11-28 16:00:00,00f3fea8b698522edbba92983340452c7da0081a8f1c1b5c5aeea6863252a9e6
0,B0,26003,10,1083.4583333333333,2016-01-07 23:00:00,2016-04-25 10:00:00,2016-01-08 00:00:00,2016-04-25 11:00:00,ce8eedd2b2634019b5fce1dc7c17582898eed35f908ce6a960e8bf00f8551df0
0,B1,26042,10,1085.0833333333333,2016-04-25 12:00:00,2016-08-12 00:00:00,2016-04-25 13:00:00,2016-08-12 01:00:00,f4fd514debb44123e71ca94280c2f9ca97e907185dcba0238a6d281df72e06a4
0,B2,26044,10,1085.1666666666667,2016-08-12 02:00:00,2016-11-28 14:00:00,2016-08-12 03:00:00,2016-11-28 15:00:00,f6f04a932b1bba88499d8dfb7766f7c71f2c7867e110640a3d22ffa834360404
0,B3,26048,10,1085.3333333333333,2016-11-28 16:00:00,2017-03-17 05:00:00,2016-11-28 17:00:00,2017-03-17 06:00:00,d5ff5f3e8e1f7ce77c5f7fa5532beba4fc1d2b4ad660cfc85162d616cc68fdbd
0,final_fit,104137,10,4339.041666666667,2016-01-07 23:00:00,2017-03-17 05:00:00,2016-01-08 00:00:00,2017-03-17 06:00:00,b601e980ef54e8df7f3dd1da8b22a79e30c9ff05aca9b0c9045feaf4c6774126
0,final_calibration,34645,10,1443.5416666666667,2017-03-17 07:00:00,2017-08-09 01:00:00,2017-03-17 08:00:00,2017-08-09 02:00:00,75d7d8ce96b7e70fb5638f3c1bda4264132650db11204918cd7f80074a3b76d6
0,outer_test,34520,10,1438.3333333333333,2017-08-09 03:00:00,2017-12-31 22:00:00,2017-08-09 04:00:00,2017-12-31 23:00:00,11b730bda703138c20b930dd3eb8c8fe84c1d69b471ddf44f595b62aa0ed7b2f
0,inner0_train,26003,10,1083.4583333333333,2016-01-07 23:00:00,2016-04-25 10:00:00,2016-01-08 00:00:00,2016-04-25 11:00:00,ce8eedd2b2634019b5fce1dc7c17582898eed35f908ce6a960e8bf00f8551df0
0,inner0_calibration,26042,10,1085.0833333333333,2016-04-25 12:00:00,2016-08-12 00:00:00,2016-04-25 13:00:00,2016-08-12 01:00:00,f4fd514debb44123e71ca94280c2f9ca97e907185dcba0238a6d281df72e06a4
0,inner0_selection,26044,10,1085.1666666666667,2016-08-12 02:00:00,2016-11-28 14:00:00,2016-08-12 03:00:00,2016-11-28 15:00:00,f6f04a932b1bba88499d8dfb7766f7c71f2c7867e110640a3d22ffa834360404
0,inner1_train,52045,10,2168.5416666666665,2016-01-07 23:00:00,2016-08-12 00:00:00,2016-01-08 00:00:00,2016-08-12 01:00:00,cc2e6dae5dabb7c9fd9574734abd250ea16ec26ba3461ed596543641aac347db
0,inner1_calibration,26044,10,1085.1666666666667,2016-08-12 02:00:00,2016-11-28 14:00:00,2016-08-12 03:00:00,2016-11-28 15:00:00,f6f04a932b1bba88499d8dfb7766f7c71f2c7867e110640a3d22ffa834360404
0,inner1_selection,26048,10,1085.3333333333333,2016-11-28 16:00:00,2017-03-17 05:00:00,2016-11-28 17:00:00,2017-03-17 06:00:00,d5ff5f3e8e1f7ce77c5f7fa5532beba4fc1d2b4ad660cfc85162d616cc68fdbd
